#Step   Etot   PotE Ktot  T
138 -0.994555 -1.960569  0.966013 0.97
139 -0.994554 -1.968247  0.973693 0.97
140 -0.994559 -1.977095  0.982536 0.98
141 -0.994570 -1.987007  0.992437 0.99
142 -0.994588 -1.997772  1.003184 1.00
143 -0.994610 -2.009077  1.014467 1.01
144 -0.994635 -2.020538  1.025903 1.03
145 -0.994658 -2.031740  1.037082 1.04
146 -0.994679 -2.042279  1.047600 1.05
147 -0.994695 -2.051795  1.057099 1.06
148 -0.994708 -2.059989  1.065281 1.07
149 -0.994717 -2.066632  1.071915 1.07
150 -0.994723 -2.071557  1.076834 1.08
151 -0.994726 -2.074657  1.079931 1.08
152 -0.994727 -2.075875  1.081149 1.08
153 -0.994726 -2.075205  1.080479 1.08
154 -0.994722 -2.072683  1.077961 1.08
155 -0.994715 -2.068399  1.073685 1.07
156 -0.994703 -2.062506  1.067803 1.07
157 -0.994687 -2.055229  1.060543 1.06
158 -0.994663 -2.046884  1.052221 1.05
159 -0.994633 -2.037890  1.043258 1.04
160 -0.994596 -2.028772  1.034176 1.03
161 -0.994556 -2.020136  1.025580 1.03
162 -0.994518 -2.012625  1.018107 1.02
163 -0.994488 -2.006841  1.012352 1.01
164 -0.994471 -2.003250  1.008779 1.01
165 -0.994470 -2.002112  1.007642 1.01
166 -0.994483 -2.003438  1.008955 1.01
167 -0.994507 -2.007006  1.012499 1.01
168 -0.994535 -2.012421  1.017886 1.02
169 -0.994563 -2.019200  1.024636 1.02
170 -0.994588 -2.026849  1.032262 1.03
171 -0.994607 -2.034921  1.040313 1.04
172 -0.994622 -2.043034  1.048412 1.05
173 -0.994632 -2.050881  1.056249 1.06
174 -0.994640 -2.058218  1.063579 1.06
175 -0.994645 -2.064851  1.070206 1.07
176 -0.994648 -2.070626  1.075977 1.08
177 -0.994650 -2.075430  1.080780 1.08
178 -0.994648 -2.079190  1.084541 1.08
179 -0.994644 -2.081878  1.087234 1.09
180 -0.994637 -2.083518  1.088881 1.09
181 -0.994627 -2.084185  1.089559 1.09
182 -0.994613 -2.084012  1.089398 1.09
183 -0.994598 -2.083176  1.088578 1.09
184 -0.994581 -2.081898  1.087317 1.09
185 -0.994564 -2.080420  1.085856 1.09
186 -0.994548 -2.078989  1.084441 1.08
187 -0.994535 -2.077838  1.083303 1.08
188 -0.994526 -2.077154  1.082628 1.08
189 -0.994522 -2.077071  1.082549 1.08
190 -0.994523 -2.077647  1.083124 1.08
191 -0.994529 -2.078866  1.084337 1.08
192 -0.994538 -2.080643  1.086105 1.09
193 -0.994549 -2.082843  1.088294 1.09
194 -0.994560 -2.085299  1.090739 1.09
195 -0.994570 -2.087843  1.093273 1.09
196 -0.994577 -2.090323  1.095746 1.10
197 -0.994581 -2.092631  1.098050 1.10
198 -0.994581 -2.094709  1.100128 1.10
199 -0.994577 -2.096556  1.101978 1.10
200 -0.994571 -2.098227  1.103656 1.10
201 -0.994562 -2.099823  1.105261 1.11
202 -0.994552 -2.101477  1.106925 1.11
203 -0.994543 -2.103331  1.108788 1.11
204 -0.994537 -2.105516  1.110979 1.11
205 -0.994534 -2.108126  1.113592 1.11
206 -0.994535 -2.111202  1.116667 1.12
207 -0.994540 -2.114722  1.120182 1.12
208 -0.994549 -2.118600  1.124051 1.12
209 -0.994560 -2.122698  1.128138 1.13
210 -0.994571 -2.126846  1.132274 1.13
211 -0.994582 -2.130862  1.136280 1.14
212 -0.994591 -2.134579  1.139988 1.14
213 -0.994597 -2.137851  1.143254 1.14
214 -0.994602 -2.140572  1.145971 1.15
215 -0.994604 -2.142670  1.148067 1.15
216 -0.994604 -2.144107  1.149503 1.15
217 -0.994603 -2.144874  1.150270 1.15
218 -0.994601 -2.144985  1.150384 1.15
219 -0.994597 -2.144481  1.149884 1.15
220 -0.994592 -2.143424  1.148833 1.15
221 -0.994585 -2.141903  1.147318 1.15
222 -0.994577 -2.140031  1.145454 1.15
223 -0.994568 -2.137941  1.143373 1.14
224 -0.994559 -2.135778  1.141219 1.14
225 -0.994552 -2.133682  1.139130 1.14
226 -0.994547 -2.131773  1.137226 1.14
227 -0.994546 -2.130129  1.135583 1.14
228 -0.994549 -2.128775  1.134226 1.13
229 -0.994556 -2.127670  1.133114 1.13
230 -0.994567 -2.126712  1.132145 1.13
231 -0.994579 -2.125747  1.131168 1.13
232 -0.994592 -2.124592  1.129999 1.13
233 -0.994604 -2.123056  1.128452 1.13
234 -0.994612 -2.120971  1.126358 1.13
235 -0.994617 -2.118214  1.123597 1.12
236 -0.994616 -2.114724  1.120108 1.12
237 -0.994611 -2.110512  1.115901 1.12
238 -0.994602 -2.105661  1.111059 1.11
239 -0.994589 -2.100317  1.105728 1.11
240 -0.994575 -2.094678  1.100104 1.10
241 -0.994559 -2.088976  1.094417 1.09
242 -0.994544 -2.083455  1.088911 1.09
243 -0.994530 -2.078355  1.083824 1.08
244 -0.994520 -2.073889  1.079369 1.08
245 -0.994513 -2.070231  1.075718 1.08
246 -0.994510 -2.067496  1.072985 1.07
247 -0.994513 -2.065732  1.071220 1.07
248 -0.994520 -2.064915  1.070394 1.07
249 -0.994532 -2.064942  1.070410 1.07
250 -0.994548 -2.065644  1.071096 1.07
251 -0.994567 -2.066794  1.072228 1.07
252 -0.994586 -2.068124  1.073537 1.07
253 -0.994606 -2.069346  1.074740 1.07
254 -0.994625 -2.070175  1.075551 1.08
255 -0.994641 -2.070351  1.075711 1.08
256 -0.994653 -2.069653  1.075000 1.08
257 -0.994661 -2.067917  1.073256 1.07
258 -0.994665 -2.065044  1.070379 1.07
259 -0.994665 -2.061006  1.066341 1.07
260 -0.994660 -2.055848  1.061188 1.06
261 -0.994651 -2.049686  1.055035 1.06
262 -0.994638 -2.042704  1.048066 1.05
263 -0.994621 -2.035151  1.040530 1.04
264 -0.994600 -2.027341  1.032741 1.03
265 -0.994576 -2.019646  1.025070 1.03
266 -0.994548 -2.012492  1.017944 1.02
267 -0.994519 -2.006355  1.011836 1.01
268 -0.994489 -2.001729  1.007240 1.01
269 -0.994464 -1.999096  1.004632 1.00
270 -0.994446 -1.998869  1.004423 1.00
271 -0.994439 -2.001332  1.006892 1.01
272 -0.994447 -2.006585  1.012138 1.01
273 -0.994467 -2.014513  1.020046 1.02
274 -0.994498 -2.024792  1.030294 1.03
275 -0.994534 -2.036932  1.042398 1.04
276 -0.994572 -2.050342  1.055770 1.06
277 -0.994606 -2.064407  1.069801 1.07
278 -0.994635 -2.078550  1.083915 1.08
279 -0.994657 -2.092276  1.097618 1.10
280 -0.994673 -2.105185  1.110513 1.11
281 -0.994683 -2.116980  1.122297 1.12
282 -0.994691 -2.127440  1.132749 1.13
283 -0.994697 -2.136405  1.141708 1.14
284 -0.994703 -2.143745  1.149042 1.15
285 -0.994710 -2.149339  1.154629 1.15
286 -0.994720 -2.153057  1.158337 1.16
287 -0.994732 -2.154747  1.160015 1.16
288 -0.994745 -2.154242  1.159496 1.16
289 -0.994758 -2.151366  1.156608 1.16
290 -0.994768 -2.145968  1.151200 1.15
291 -0.994773 -2.137947  1.143174 1.14
292 -0.994771 -2.127289  1.132518 1.13
293 -0.994761 -2.114092  1.119331 1.12
294 -0.994742 -2.098590  1.103848 1.10
295 -0.994715 -2.081150  1.086435 1.09
296 -0.994682 -2.062268  1.067586 1.07
297 -0.994644 -2.042537  1.047893 1.05
298 -0.994605 -2.022618  1.028014 1.03
299 -0.994566 -2.003198  1.008632 1.01
300 -0.994529 -1.984950  0.990420 0.99
301 -0.994498 -1.968498  0.974000 0.97
302 -0.994474 -1.954380  0.959907 0.96
303 -0.994459 -1.943016  0.948557 0.95
304 -0.994454 -1.934675  0.940221 0.94
305 -0.994460 -1.929455  0.934995 0.93
306 -0.994477 -1.927271  0.932794 0.93
307 -0.994503 -1.927859  0.933356 0.93
308 -0.994535 -1.930808  0.936273 0.94
309 -0.994569 -1.935609  0.941040 0.94
310 -0.994600 -1.941716  0.947116 0.95
311 -0.994624 -1.948612  0.953988 0.95
312 -0.994640 -1.955870  0.961230 0.96
313 -0.994646 -1.963187  0.968540 0.97
314 -0.994643 -1.970402  0.975759 0.98
315 -0.994632 -1.977493  0.982860 0.98
316 -0.994617 -1.984549  0.989932 0.99
317 -0.994599 -1.991734  0.997135 1.00
