#Step   Etot   PotE Ktot  T
138 -0.205863 -1.897718  1.691855 1.69
139 -0.205820 -1.892902  1.687082 1.69
140 -0.205780 -1.889371  1.683591 1.68
141 -0.245840 -1.887802  1.641961 1.64
142 -0.245822 -1.888667  1.642845 1.64
143 -0.245819 -1.892213  1.646394 1.65
144 -0.245832 -1.898446  1.652614 1.65
145 -0.245860 -1.907122  1.661262 1.66
146 -0.245901 -1.917759  1.671858 1.67
147 -0.245951 -1.929684  1.683733 1.68
148 -0.246003 -1.942094  1.696091 1.70
149 -0.246054 -1.954142  1.708088 1.71
150 -0.246098 -1.965011  1.718913 1.72
151 -0.246133 -1.973985  1.727852 1.73
152 -0.246157 -1.980496  1.734340 1.73
153 -0.246170 -1.984150  1.737980 1.74
154 -0.246175 -1.984722  1.738548 1.74
155 -0.246172 -1.982140  1.735967 1.74
156 -0.246166 -1.976450  1.730285 1.73
157 -0.246156 -1.967788  1.721632 1.72
158 -0.246144 -1.956350  1.710206 1.71
159 -0.246130 -1.942389  1.696259 1.70
160 -0.246111 -1.926216  1.680106 1.68
161 -0.282691 -1.908494  1.625803 1.63
162 -0.282658 -1.889611  1.606954 1.61
163 -0.282616 -1.870196  1.587580 1.59
164 -0.282565 -1.851006  1.568441 1.57
165 -0.282508 -1.832924  1.550416 1.55
166 -0.282447 -1.816927  1.534481 1.53
167 -0.282388 -1.804028  1.521640 1.52
168 -0.282338 -1.795181  1.512843 1.51
169 -0.282308 -1.791165  1.508857 1.51
170 -0.282304 -1.792441  1.510137 1.51
171 -0.282331 -1.799044  1.516713 1.52
172 -0.282386 -1.810526  1.528140 1.53
173 -0.282462 -1.825988  1.543526 1.54
174 -0.282547 -1.844198  1.561652 1.56
175 -0.282629 -1.863765  1.581136 1.58
176 -0.282701 -1.883313  1.600613 1.60
177 -0.282756 -1.901628  1.618872 1.62
178 -0.282793 -1.917741  1.634948 1.63
179 -0.282815 -1.930958  1.648144 1.65
180 -0.282824 -1.940842  1.658018 1.66
181 -0.297343 -1.947169  1.649826 1.65
182 -0.297337 -1.949953  1.652616 1.65
183 -0.297327 -1.949268  1.651942 1.65
184 -0.297312 -1.945297  1.647985 1.65
185 -0.297291 -1.938325  1.641035 1.64
186 -0.297262 -1.928763  1.631501 1.63
187 -0.297222 -1.917167  1.619945 1.62
188 -0.297171 -1.904271  1.607100 1.61
189 -0.297110 -1.890986  1.593876 1.59
190 -0.297044 -1.878372  1.581328 1.58
191 -0.296983 -1.867543  1.570559 1.57
192 -0.296939 -1.859521  1.562581 1.56
193 -0.296924 -1.855054  1.558130 1.56
194 -0.296944 -1.854442  1.557498 1.56
195 -0.296998 -1.857437  1.560439 1.56
196 -0.297080 -1.863254  1.566175 1.57
197 -0.297174 -1.870693  1.573519 1.57
198 -0.297267 -1.878341  1.581074 1.58
199 -0.297347 -1.884789  1.587443 1.59
200 -0.297406 -1.888820  1.591414 1.59
201 -0.245355 -1.889415  1.644060 1.64
202 -0.245364 -1.885852  1.640489 1.64
203 -0.245348 -1.878003  1.632655 1.63
204 -0.245312 -1.866123  1.620811 1.62
205 -0.245256 -1.850811  1.605554 1.61
206 -0.245186 -1.832960  1.587774 1.59
207 -0.245107 -1.813693  1.568586 1.57
208 -0.245024 -1.794275  1.549250 1.55
209 -0.244945 -1.776022  1.531077 1.53
210 -0.244877 -1.760187  1.515311 1.52
211 -0.244826 -1.747840  1.503014 1.50
212 -0.244799 -1.739766  1.494967 1.49
213 -0.244796 -1.736389  1.491593 1.49
214 -0.244817 -1.737740  1.492924 1.49
215 -0.244857 -1.743479  1.498623 1.50
216 -0.244910 -1.752952  1.508042 1.51
217 -0.244971 -1.765282  1.520311 1.52
218 -0.245032 -1.779469  1.534436 1.53
219 -0.245089 -1.794488  1.549399 1.55
220 -0.245139 -1.809372  1.564233 1.56
221 -0.165911 -1.823434  1.657523 1.66
222 -0.165938 -1.835416  1.669478 1.67
223 -0.165955 -1.844807  1.678852 1.68
224 -0.165961 -1.851276  1.685315 1.69
225 -0.165959 -1.854662  1.688703 1.69
226 -0.165951 -1.854949  1.688998 1.69
227 -0.165937 -1.852249  1.686313 1.69
228 -0.165918 -1.846785  1.680868 1.68
229 -0.165894 -1.838880  1.672987 1.67
230 -0.165864 -1.828957  1.663093 1.66
231 -0.165828 -1.817541  1.651713 1.65
232 -0.165784 -1.805274  1.639489 1.64
233 -0.165733 -1.792914  1.627181 1.63
234 -0.165676 -1.781337  1.615661 1.62
235 -0.165616 -1.771498  1.605881 1.61
236 -0.165560 -1.764376  1.598815 1.60
237 -0.165517 -1.760868  1.595351 1.60
238 -0.165494 -1.761663  1.596169 1.60
239 -0.165499 -1.767105  1.601606 1.60
240 -0.165534 -1.777099  1.611565 1.61
241 -0.133661 -1.791143  1.657483 1.66
242 -0.133739 -1.808083  1.674344 1.67
243 -0.133824 -1.826657  1.692832 1.69
244 -0.133906 -1.845493  1.711587 1.71
245 -0.133975 -1.863272  1.729297 1.73
246 -0.134026 -1.878860  1.744834 1.74
247 -0.134055 -1.891411  1.757356 1.76
248 -0.134059 -1.900428  1.766369 1.77
249 -0.134037 -1.905813  1.771775 1.77
250 -0.133990 -1.907881  1.773891 1.77
251 -0.133921 -1.907352  1.773431 1.77
252 -0.133840 -1.905273  1.771433 1.77
253 -0.133761 -1.902875  1.769114 1.77
254 -0.133701 -1.901348  1.767647 1.77
255 -0.133674 -1.901586  1.767912 1.77
256 -0.133686 -1.903980  1.770294 1.77
257 -0.133731 -1.908334  1.774603 1.77
258 -0.133794 -1.913951  1.780157 1.78
259 -0.133857 -1.919846  1.785989 1.79
260 -0.133907 -1.925006  1.791099 1.79
261 -0.281535 -1.928727  1.647192 1.65
262 -0.281545 -1.930978  1.649433 1.65
263 -0.281541 -1.931511  1.649971 1.65
264 -0.281527 -1.930313  1.648786 1.65
265 -0.281509 -1.927520  1.646011 1.65
266 -0.281491 -1.923342  1.641851 1.64
267 -0.281474 -1.918011  1.636538 1.64
268 -0.281457 -1.911763  1.630307 1.63
269 -0.281438 -1.904842  1.623403 1.62
270 -0.281418 -1.897520  1.616103 1.62
271 -0.281394 -1.890118  1.608724 1.61
272 -0.281368 -1.883002  1.601635 1.60
273 -0.281341 -1.876580  1.595239 1.60
274 -0.281315 -1.871270  1.589955 1.59
275 -0.281292 -1.867476  1.586184 1.59
276 -0.281275 -1.865545  1.584270 1.58
277 -0.281266 -1.865731  1.584465 1.58
278 -0.281267 -1.868163  1.586896 1.59
279 -0.281278 -1.872815  1.591536 1.59
280 -0.281299 -1.879498  1.598199 1.60
281 -0.236027 -1.887914  1.651887 1.65
282 -0.236060 -1.897427  1.661367 1.66
283 -0.236094 -1.907504  1.671410 1.67
284 -0.236127 -1.917591  1.681464 1.68
285 -0.236155 -1.927162  1.691007 1.69
286 -0.236177 -1.935758  1.699581 1.70
287 -0.236193 -1.943014  1.706821 1.71
288 -0.236201 -1.948671  1.712470 1.71
289 -0.236203 -1.952584  1.716381 1.72
290 -0.236198 -1.954719  1.718521 1.72
291 -0.236188 -1.955143  1.718955 1.72
292 -0.236174 -1.954009  1.717835 1.72
293 -0.236159 -1.951531  1.715372 1.72
294 -0.236144 -1.947956  1.711812 1.71
295 -0.236130 -1.943532  1.707401 1.71
296 -0.236119 -1.938485  1.702365 1.70
297 -0.236112 -1.933003  1.696891 1.70
298 -0.236107 -1.927231  1.691125 1.69
299 -0.236103 -1.921278  1.685175 1.69
300 -0.236099 -1.915229  1.679130 1.68
301 -0.271725 -1.909288  1.637563 1.64
302 -0.271719 -1.903538  1.631819 1.63
303 -0.271712 -1.898088  1.626377 1.63
304 -0.271702 -1.893070  1.621367 1.62
305 -0.271692 -1.888638  1.616946 1.62
306 -0.271681 -1.884969  1.613288 1.61
307 -0.271670 -1.882246  1.610575 1.61
308 -0.271661 -1.880644  1.608983 1.61
309 -0.271656 -1.880313  1.608657 1.61
310 -0.271657 -1.881342  1.609685 1.61
311 -0.271666 -1.883730  1.612064 1.61
312 -0.271686 -1.887345  1.615659 1.62
313 -0.271719 -1.891888  1.620169 1.62
314 -0.271764 -1.896878  1.625113 1.63
315 -0.271820 -1.901646  1.629826 1.63
316 -0.271883 -1.905379  1.633496 1.63
317 -0.271947 -1.907171  1.635224 1.64
318 -0.272007 -1.906113  1.634106 1.63
319 -0.272055 -1.901388  1.629334 1.63
320 -0.272085 -1.892380  1.620295 1.62
321 -0.248887 -1.878619  1.629733 1.63
322 -0.248864 -1.860183  1.611319 1.61
323 -0.248809 -1.837597  1.588788 1.59
324 -0.248722 -1.811882  1.563159 1.56
325 -0.248610 -1.784534  1.535924 1.54
326 -0.248484 -1.757425  1.508941 1.51
327 -0.248361 -1.732611  1.484250 1.48
328 -0.248260 -1.712076  1.463816 1.46
329 -0.248197 -1.697440  1.449243 1.45
330 -0.248180 -1.689721  1.441541 1.44
331 -0.248208 -1.689201  1.440993 1.44
332 -0.248269 -1.695458  1.447189 1.45
333 -0.248348 -1.707519  1.459171 1.46
334 -0.248430 -1.724096  1.475666 1.48
335 -0.248505 -1.743808  1.495303 1.50
336 -0.248567 -1.765353  1.516786 1.52
337 -0.248615 -1.787599  1.538985 1.54
338 -0.248651 -1.809615  1.560964 1.56
339 -0.248677 -1.830652  1.581975 1.58
340 -0.248697 -1.850117  1.601421 1.60
341 -0.206631 -1.867680  1.661049 1.66
342 -0.206641 -1.882628  1.675987 1.68
343 -0.206648 -1.894676  1.688028 1.69
344 -0.206652 -1.903611  1.696959 1.70
345 -0.206652 -1.909296  1.702644 1.70
346 -0.206648 -1.911680  1.705033 1.71
347 -0.206637 -1.910812  1.704175 1.70
348 -0.206618 -1.906855  1.700237 1.70
349 -0.206592 -1.900102  1.693509 1.69
350 -0.206558 -1.890980  1.684422 1.68
351 -0.206517 -1.880051  1.673534 1.67
352 -0.206470 -1.867992  1.661522 1.66
353 -0.206420 -1.855573  1.649153 1.65
354 -0.206369 -1.843615  1.637246 1.64
355 -0.206324 -1.832932  1.626609 1.63
356 -0.206287 -1.824264  1.617977 1.62
357 -0.206266 -1.818198  1.611932 1.61
358 -0.206262 -1.815093  1.608831 1.61
359 -0.206277 -1.815033  1.608756 1.61
360 -0.206310 -1.817802  1.611493 1.61
361 -0.174349 -1.822906  1.648556 1.65
362 -0.174404 -1.829553  1.655150 1.66
363 -0.174461 -1.836922  1.662461 1.66
364 -0.174516 -1.844146  1.669630 1.67
365 -0.174568 -1.850381  1.675812 1.68
366 -0.174615 -1.854845  1.680230 1.68
367 -0.174655 -1.856856  1.682200 1.68
368 -0.174688 -1.855842  1.681154 1.68
369 -0.174711 -1.851373  1.676663 1.68
370 -0.174723 -1.843188  1.668465 1.67
371 -0.174722 -1.831213  1.656491 1.66
372 -0.174709 -1.815596  1.640888 1.64
373 -0.174682 -1.796706  1.622024 1.62
374 -0.174643 -1.775132  1.600489 1.60
375 -0.174592 -1.751671  1.577079 1.58
376 -0.174528 -1.727321  1.552793 1.55
377 -0.174451 -1.703282  1.528832 1.53
378 -0.174360 -1.680961  1.506601 1.51
379 -0.174263 -1.661936  1.487673 1.49
380 -0.174177 -1.647829  1.473652 1.47
381 -0.004270 -1.639076  1.634806 1.63
382 -0.004261 -1.636887  1.632626 1.63
383 -0.004312 -1.641430  1.637118 1.64
384 -0.004413 -1.651942  1.647529 1.65
385 -0.004541 -1.666864  1.662323 1.66
386 -0.004664 -1.684204  1.679539 1.68
387 -0.004758 -1.701993  1.697235 1.70
