#Step   Etot   PotE Ktot  T
138 -0.994637 -2.150463  1.155826 1.16
139 -0.994642 -2.154655  1.160013 1.16
140 -0.994642 -2.157092  1.162449 1.16
141 -0.994638 -2.157768  1.163131 1.16
142 -0.994628 -2.156765  1.162137 1.16
143 -0.994614 -2.154242  1.159629 1.16
144 -0.994595 -2.150441  1.155846 1.16
145 -0.994573 -2.145666  1.151093 1.15
146 -0.994550 -2.140273  1.145723 1.15
147 -0.994527 -2.134644  1.140117 1.14
148 -0.994506 -2.129160  1.134654 1.13
149 -0.994489 -2.124175  1.129686 1.13
150 -0.994477 -2.119981  1.125505 1.13
151 -0.994472 -2.116791  1.122319 1.12
152 -0.994473 -2.114716  1.120243 1.12
153 -0.994481 -2.113766  1.119285 1.12
154 -0.994494 -2.113855  1.119362 1.12
155 -0.994510 -2.114818  1.120308 1.12
156 -0.994528 -2.116434  1.121906 1.12
157 -0.994545 -2.118455  1.123910 1.12
158 -0.994561 -2.120635  1.126074 1.13
159 -0.994574 -2.122749  1.128175 1.13
160 -0.994583 -2.124614  1.130031 1.13
161 -0.994588 -2.126103  1.131515 1.13
162 -0.994589 -2.127147  1.132558 1.13
163 -0.994586 -2.127739  1.133152 1.13
164 -0.994580 -2.127927  1.133346 1.13
165 -0.994573 -2.127804  1.133231 1.13
166 -0.994564 -2.127490  1.132926 1.13
167 -0.994556 -2.127114  1.132558 1.13
168 -0.994550 -2.126792  1.132242 1.13
169 -0.994547 -2.126612  1.132065 1.13
170 -0.994546 -2.126620  1.132074 1.13
171 -0.994548 -2.126823  1.132275 1.13
172 -0.994551 -2.127186  1.132635 1.13
173 -0.994556 -2.127646  1.133090 1.13
174 -0.994560 -2.128124  1.133564 1.13
175 -0.994565 -2.128535  1.133970 1.13
176 -0.994569 -2.128798  1.134229 1.13
177 -0.994572 -2.128839  1.134267 1.13
178 -0.994575 -2.128595  1.134020 1.13
179 -0.994578 -2.128011  1.133434 1.13
180 -0.994580 -2.127040  1.132459 1.13
181 -0.994583 -2.125639  1.131057 1.13
182 -0.994585 -2.123778  1.129193 1.13
183 -0.994586 -2.121437  1.126851 1.13
184 -0.994586 -2.118613  1.124027 1.12
185 -0.994584 -2.115331  1.120746 1.12
186 -0.994581 -2.111643  1.117062 1.12
187 -0.994576 -2.107633  1.113057 1.11
188 -0.994569 -2.103418  1.108849 1.11
189 -0.994562 -2.099135  1.104573 1.10
190 -0.994555 -2.094934  1.100379 1.10
191 -0.994551 -2.090955  1.096405 1.10
192 -0.994550 -2.087307  1.092757 1.09
193 -0.994554 -2.084043  1.089489 1.09
194 -0.994564 -2.081146  1.086582 1.09
195 -0.994578 -2.078515  1.083936 1.08
196 -0.994597 -2.075978  1.081381 1.08
197 -0.994616 -2.073311  1.078695 1.08
198 -0.994634 -2.070279  1.075646 1.08
199 -0.994645 -2.066682  1.072036 1.07
200 -0.994648 -2.062403  1.067754 1.07
201 -0.994640 -2.057459  1.062819 1.06
202 -0.994620 -2.052034  1.057414 1.06
203 -0.994588 -2.046493  1.051905 1.05
204 -0.994547 -2.041366  1.046819 1.05
205 -0.994503 -2.037310  1.042807 1.04
206 -0.994462 -2.035016  1.040554 1.04
207 -0.994433 -2.035109  1.040675 1.04
208 -0.994422 -2.038023  1.043601 1.04
209 -0.994432 -2.043915  1.049482 1.05
210 -0.994463 -2.052610  1.058147 1.06
211 -0.994510 -2.063620  1.069110 1.07
212 -0.994565 -2.076211  1.081646 1.08
213 -0.994621 -2.089513  1.094892 1.09
214 -0.994672 -2.102632  1.107960 1.11
215 -0.994712 -2.114757  1.120045 1.12
216 -0.994741 -2.125230  1.130489 1.13
217 -0.994757 -2.133580  1.138824 1.14
218 -0.994762 -2.139532  1.144770 1.14
219 -0.994760 -2.142977  1.148217 1.15
220 -0.994753 -2.143937  1.149184 1.15
