#Step   Etot   PotE Ktot  T
138 -0.311148 -1.818207  1.507059 1.51
139 -0.311116 -1.797630  1.486514 1.49
140 -0.311087 -1.778593  1.467506 1.47
141 -0.135061 -1.760121  1.625060 1.63
142 -0.135019 -1.743386  1.608367 1.61
143 -0.134969 -1.729079  1.594110 1.59
144 -0.134914 -1.717992  1.583078 1.58
145 -0.134863 -1.710950  1.576087 1.58
146 -0.134826 -1.708687  1.573861 1.57
147 -0.134815 -1.711681  1.576866 1.58
148 -0.134836 -1.720004  1.585168 1.59
149 -0.134887 -1.733239  1.598352 1.60
150 -0.134960 -1.750496  1.615535 1.62
151 -0.107081 -1.770629  1.663548 1.66
152 -0.107163 -1.791989  1.684826 1.68
153 -0.107232 -1.813178  1.705946 1.71
154 -0.107279 -1.833000  1.725721 1.73
155 -0.107303 -1.850579  1.743277 1.74
156 -0.107303 -1.865410  1.758107 1.76
157 -0.107283 -1.877347  1.770064 1.77
158 -0.107250 -1.886552  1.779301 1.78
159 -0.107212 -1.893400  1.786189 1.79
160 -0.107174 -1.898375  1.791201 1.79
161 -0.254847 -1.902079  1.647231 1.65
162 -0.254830 -1.905353  1.650523 1.65
163 -0.254823 -1.908412  1.653589 1.65
164 -0.254824 -1.911325  1.656501 1.66
165 -0.254829 -1.914042  1.659213 1.66
166 -0.254836 -1.916447  1.661611 1.66
167 -0.254840 -1.918412  1.663572 1.66
168 -0.254841 -1.919844  1.665004 1.67
169 -0.254837 -1.920710  1.665873 1.67
170 -0.254831 -1.921038  1.666207 1.67
171 -0.277532 -1.920933  1.643401 1.64
172 -0.277528 -1.920506  1.642978 1.64
173 -0.277527 -1.919797  1.642270 1.64
174 -0.277531 -1.918796  1.641265 1.64
175 -0.277539 -1.917434  1.639895 1.64
176 -0.277549 -1.915588  1.638039 1.64
177 -0.277561 -1.913106  1.635545 1.64
178 -0.277572 -1.909822  1.632250 1.63
179 -0.277582 -1.905580  1.627998 1.63
180 -0.277590 -1.900259  1.622670 1.62
181 -0.256762 -1.893710  1.636948 1.64
182 -0.256759 -1.885939  1.629180 1.63
183 -0.256747 -1.877065  1.620319 1.62
184 -0.256725 -1.867344  1.610619 1.61
185 -0.256694 -1.857177  1.600483 1.60
186 -0.256658 -1.847106  1.590448 1.59
187 -0.256620 -1.837755  1.581135 1.58
188 -0.256589 -1.829755  1.573165 1.57
189 -0.256570 -1.823636  1.567066 1.57
190 -0.256566 -1.819746  1.563180 1.56
191 -0.176257 -1.817984  1.641727 1.64
192 -0.176278 -1.818164  1.641887 1.64
193 -0.176302 -1.820015  1.643712 1.64
194 -0.176325 -1.823196  1.646871 1.65
195 -0.176339 -1.827398  1.651059 1.65
196 -0.176342 -1.832419  1.656076 1.66
197 -0.176335 -1.838206  1.661872 1.66
198 -0.176319 -1.844867  1.668548 1.67
199 -0.176301 -1.852613  1.676312 1.68
200 -0.176289 -1.861677  1.685388 1.69
201 -0.218179 -1.872146  1.653967 1.65
202 -0.218197 -1.884143  1.665946 1.67
203 -0.218231 -1.897336  1.679104 1.68
204 -0.218275 -1.911149  1.692874 1.69
205 -0.218321 -1.924855  1.706534 1.71
206 -0.218362 -1.937690  1.719328 1.72
207 -0.218393 -1.948965  1.730573 1.73
208 -0.218413 -1.958137  1.739724 1.74
209 -0.218424 -1.964831  1.746408 1.75
210 -0.218428 -1.968825  1.750397 1.75
211 -0.325326 -1.970164  1.644839 1213 -0.232280 -1.867724  1.635445 1.64
214 -0.224213 -1.858109  1.633896 1.63
215 -0.214594 -1.847144  1.632550 1.63
