#Step   Etot   PotE Ktot  T
138 -0.994541 -2.012129  1.017587 1.02
139 -0.994557 -2.012518  1.017961 1.02
140 -0.994571 -2.013279  1.018709 1.02
141 -0.994582 -2.014196  1.019614 1.02
142 -0.994589 -2.015091  1.020501 1.02
143 -0.994591 -2.015854  1.021264 1.02
144 -0.994587 -2.016459  1.021873 1.02
145 -0.994578 -2.016961  1.022383 1.02
146 -0.994567 -2.017480  1.022913 1.02
147 -0.994556 -2.018174  1.023618 1.02
148 -0.994548 -2.019195  1.024647 1.02
149 -0.994544 -2.020654  1.026110 1.03
150 -0.994546 -2.022592  1.028045 1.03
151 -0.994553 -2.024968  1.030415 1.03
152 -0.994562 -2.027674  1.033112 1.03
153 -0.994572 -2.030557  1.035985 1.04
154 -0.994581 -2.033448  1.038867 1.04
155 -0.994588 -2.036190  1.041602 1.04
156 -0.994592 -2.038661  1.044069 1.04
157 -0.994594 -2.040781  1.046187 1.05
158 -0.994593 -2.042511  1.047918 1.05
159 -0.994591 -2.043850  1.049259 1.05
160 -0.994589 -2.044818  1.050230 1.05
161 -0.994587 -2.045443  1.050856 1.05
162 -0.994587 -2.045745  1.051158 1.05
163 -0.994589 -2.045725  1.051136 1.05
164 -0.994593 -2.045360  1.050767 1.05
165 -0.994598 -2.044606  1.050008 1.05
166 -0.994602 -2.043411  1.048808 1.05
167 -0.994604 -2.041733  1.047128 1.05
168 -0.994603 -2.039567  1.044965 1.04
169 -0.994595 -2.036972  1.042377 1.04
170 -0.994582 -2.034084  1.039502 1.04
171 -0.994563 -2.031128  1.036565 1.04
172 -0.994541 -2.028407  1.033866 1.03
173 -0.994517 -2.026277  1.031760 1.03
174 -0.994496 -2.025104  1.030608 1.03
175 -0.994481 -2.025208  1.030727 1.03
176 -0.994475 -2.026814  1.032339 1.03
177 -0.994480 -2.029999  1.035519 1.04
178 -0.994496 -2.034676  1.040180 1.04
179 -0.994520 -2.040590  1.046070 1.05
180 -0.994550 -2.047349  1.052798 1.05
181 -0.994583 -2.054468  1.059885 1.06
182 -0.994615 -2.061427  1.066812 1.07
183 -0.994643 -2.067719  1.073075 1.07
184 -0.994665 -2.072896  1.078230 1.08
185 -0.994680 -2.076607  1.081927 1.08
186 -0.994685 -2.078628  1.083943 1.08
187 -0.994680 -2.078884  1.084204 1.08
188 -0.994663 -2.077468  1.082805 1.08
189 -0.994634 -2.074659  1.080025 1.08
190 -0.994594 -2.070917  1.076323 1.08
191 -0.994548 -2.066863  1.072315 1.07
192 -0.994499 -2.063220  1.068721 1.07
193 -0.994455 -2.060736  1.066281 1.07
194 -0.994422 -2.060076  1.065654 1.07
195 -0.994406 -2.061724  1.067318 1.07
196 -0.994408 -2.065907  1.071499 1.07
197 -0.994425 -2.072573  1.078149 1.08
198 -0.994453 -2.081427  1.086974 1.09
199 -0.994485 -2.091996  1.097511 1.10
200 -0.994518 -2.103723  1.109205 1.11
201 -0.994546 -2.116044  1.121498 1.12
202 -0.994569 -2.128449  1.133880 1.13
203 -0.994585 -2.140509  1.145924 1.15
204 -0.994596 -2.151893  1.157297 1.16
205 -0.994602 -2.162357  1.167755 1.17
206 -0.994604 -2.171736  1.177132 1.18
207 -0.994603 -2.179934  1.185331 1.19
208 -0.994600 -2.186905  1.192305 1.19
209 -0.994595 -2.192649  1.198054 1.20
210 -0.994588 -2.197201  1.202613 1.20
211 -0.994581 -2.200628  1.206047 1.21
212 -0.994572 -2.203017  1.208445 1.21
