#Step   Etot   PotE Ktot  T
138 -1.962323 -2.433849  0.471526 0.47
139 -1.962319 -2.433263  0.470944 0.47
140 -1.962314 -2.432463  0.470148 0.47
141 -1.962310 -2.431519  0.469209 0.47
142 -1.962306 -2.430503  0.468197 0.47
143 -1.962303 -2.429479  0.467176 0.47
144 -1.962301 -2.428502  0.466201 0.47
145 -1.962299 -2.427613  0.465314 0.47
146 -1.962298 -2.426840  0.464542 0.46
147 -1.962298 -2.426199  0.463901 0.46
148 -1.962299 -2.425694  0.463395 0.46
149 -1.962300 -2.425319  0.463020 0.46
150 -1.962300 -2.425070  0.462770 0.46
151 -1.962300 -2.424939  0.462638 0.46
152 -1.962300 -2.424923  0.462623 0.46
153 -1.962300 -2.425026  0.462726 0.46
154 -1.962299 -2.425255  0.462956 0.46
155 -1.962297 -2.425623  0.463326 0.46
156 -1.962296 -2.426146  0.463850 0.46
157 -1.962295 -2.426840  0.464545 0.46
158 -1.962294 -2.427717  0.465423 0.47
159 -1.962294 -2.428785  0.466491 0.47
160 -1.962294 -2.430044  0.467750 0.47
161 -1.962295 -2.431488  0.469194 0.47
162 -1.962296 -2.433101  0.470805 0.47
163 -1.962298 -2.434861  0.472564 0.47
164 -1.962299 -2.436739  0.474439 0.47
165 -1.962301 -2.438702  0.476400 0.48
166 -1.962303 -2.440715  0.478412 0.48
167 -1.962305 -2.442744  0.480438 0.48
168 -1.962307 -2.444753  0.482446 0.48
169 -1.962309 -2.446713  0.484404 0.48
170 -1.962310 -2.448596  0.486286 0.49
171 -1.962311 -2.450379  0.488068 0.49
172 -1.962311 -2.452045  0.489733 0.49
173 -1.962312 -2.453581  0.491269 0.49
174 -1.962312 -2.454977  0.492665 0.49
175 -1.962312 -2.456231  0.493919 0.49
176 -1.962312 -2.457339  0.495027 0.50
177 -1.962312 -2.458302  0.495991 0.50
178 -1.962311 -2.459122  0.496811 0.50
179 -1.962311 -2.459799  0.497487 0.50
180 -1.962312 -2.460332  0.498021 0.50
181 -1.962312 -2.460721  0.498409 0.50
182 -1.962312 -2.460959  0.498647 0.50
183 -1.962313 -2.461040  0.498727 0.50
184 -1.962314 -2.460955  0.498641 0.50
185 -1.962315 -2.460693  0.498378 0.50
186 -1.962316 -2.460241  0.497925 0.50
187 -1.962317 -2.459590  0.497273 0.50
