#Step   Etot   PotE Ktot  T
144 2.085923 -1.348224  3.434147 3.43
145 2.085837 -1.367908  3.453744 3.45
146 2.085752 -1.382005  3.467757 3.47
147 2.085672 -1.389153  3.474825 3.47
148 2.085606 -1.388161  3.473767 3.47
149 2.085567 -1.378159  3.463726 3.46
150 2.085573 -1.358801  3.444374 3.44
151 2.085639 -1.330518  3.416157 3.42
152 2.085776 -1.294736  3.380512 3.38
153 2.085979 -1.253996  3.339975 3.34
154 2.086221 -1.211834  3.298055 3.30
155 2.086448 -1.172309  3.258757 3.26
156 2.086593 -1.139175  3.225768 3.23
157 2.086605 -1.114889  3.201494 3.20
158 2.086483 -1.099891  3.186374 3.19
159 2.086284 -1.092579  3.178863 3.18
160 2.086097 -1.090132  3.176229 3.18
161 2.085997 -1.089793  3.175791 3.18
162 2.086009 -1.089953  3.175962 3.18
163 2.086098 -1.090507  3.176605 3.18
164 2.086204 -1.092422  3.178626 3.18
165 2.086275 -1.096895  3.183170 3.18
166 2.086288 -1.104608  3.190896 3.19
167 2.086249 -1.115404  3.201653 3.20
168 2.086181 -1.128374  3.214555 3.21
169 2.086107 -1.142174  3.228281 3.23
170 2.086047 -1.155392  3.241439 3.24
171 2.086012 -1.166841  3.252853 3.25
172 2.086005 -1.175739  3.261744 3.26
173 2.086018 -1.181747  3.267765 3.27
174 2.086038 -1.184865  3.270903 3.27
175 2.086054 -1.185254  3.271309 3.27
176 2.086061 -1.183079  3.269141 3.27
177 2.086060 -1.178422  3.264482 3.26
178 2.086053 -1.171280  3.257332 3.26
179 2.086042 -1.161604  3.247646 3.25
180 2.086031 -1.149339  3.235370 3.24
181 2.086022 -1.134457  3.220479 3.22
182 2.086021 -1.117009  3.203030 3.20
183 2.086034 -1.097205  3.183240 3.18
184 2.086069 -1.075505  3.161573 3.16
185 2.086128 -1.052710  3.138837 3.14
186 2.086210 -1.030010  3.116220 3.12
187 2.086309 -1.008950  3.095259 3.10
188 2.086408 -0.991304  3.077713 3.08
