#Step   Etot   PotE Ktot  T
144 2.417655 -1.038031  3.455686 3.46
145 2.417519 -1.056531  3.474050 3.47
146 2.417373 -1.079169  3.496542 3.50
147 2.417232 -1.103599  3.520831 3.52
148 2.417101 -1.127529  3.544631 3.54
149 2.416989 -1.148860  3.565849 3.57
150 2.416902 -1.165809  3.582711 3.58
151 2.290546 -1.177158  3.467703 3.47
152 2.290527 -1.182744  3.473271 3.47
153 2.290544 -1.182372  3.472916 3.47
154 2.290588 -1.176430  3.467018 3.47
155 2.290645 -1.165768  3.456413 3.46
156 2.290692 -1.151461  3.442154 3.44
157 2.290717 -1.134509  3.425226 3.43
158 2.290721 -1.115624  3.406345 3.41
159 2.290723 -1.095244  3.385966 3.39
160 2.290746 -1.073779  3.364525 3.36
161 2.382690 -1.051350  3.434039 3.43
162 2.382781 -1.029151  3.411932 3.41
163 2.382878 -1.008756  3.391635 3.39
164 2.382953 -0.991752  3.374705 3.37
165 2.382987 -0.979320  3.362306 3.36
166 2.382972 -0.971946  3.354918 3.35
167 2.382916 -0.969334  3.352250 3.35
168 2.382832 -0.970499  3.353331 3.35
169 2.382734 -0.973979  3.356713 3.36
170 2.382630 -0.978052  3.360683 3.36
171 2.478257 -0.980667  3.458924 3.46
172 2.478170 -0.979750  3.457920 3.46
173 2.478106 -0.973845  3.451951 3.45
174 2.478077 -0.961932  3.440009 3.44
175 2.478096 -0.943624  3.421720 3.42
176 2.478170 -0.919350  3.397520 3.40
177 2.478299 -0.890459  3.368758 3.37
178 2.478472 -0.859199  3.337671 3.34
179 2.478663 -0.828523  3.307186 3.31
180 2.478837 -0.801689  3.280526 3.28
181 2.654838 -0.780561  3.435399 3.44
182 2.654874 -0.767461  3.422335 3.42
183 2.654822 -0.763384  3.418206 3.42
184 2.654703 -0.767991  3.422693 3.42
185 2.654557 -0.779896  3.434453 3.43
186 2.654427 -0.797241  3.451668 3.45
187 2.654333 -0.818274  3.472607 3.47
188 2.654261 -0.841627  3.495887 3.50
189 2.654179 -0.866134  3.520313 3.52
190 2.654071 -0.890411  3.544482 3.54
191 2.565884 -0.912712  3.478596 3.48
192 2.565812 -0.931790  3.497602 3.50
193 2.565820 -0.946338  3.512158 3.51
194 2.565908 -0.956204  3.522111 3.52
195 2.566033 -0.962393  3.528425 3.53
196 2.566142 -0.966505  3.532646 3.53
197 2.566204 -0.969976  3.536180 3.54
198 2.566229 -0.973634  3.539863 3.54
199 2.566259 -0.977826  3.544085 3.54
200 2.566329 -0.982959  3.549289 3.55
201 2.473563 -0.990216  3.463778 3.46
202 2.473693 -1.001519  3.475212 3.48
203 2.473793 -1.018590  3.492383 3.49
204 2.473824 -1.042666  3.516490 3.52
205 2.473771 -1.073936  3.547708 3.55
206 2.473649 -1.111333  3.584982 3.58
207 2.473486 -1.152727  3.626214 3.63
208 2.473314 -1.195371  3.668685 3.67
209 2.473153 -1.236366  3.709519 3.71
210 2.473013 -1.273008  3.746021 3.75
211 2.183282 -1.302553  3.485835 3.49
212 2.183177 -1.325308  3.508486 3.51
213 2.183083 -1.339649  3.522732 3.52
214 2.183005 -1.344235  3.527240 3.53
215 2.182956 -1.338106  3.521062 3.52
216 2.182956 -1.320885  3.503841 3.50
217 2.183026 -1.293072  3.476098 3.48
218 2.183177 -1.256323  3.439501 3.44
219 2.183405 -1.213601  3.397006 3.40
220 2.183670 -1.169017  3.352687 3.35
221 2.287627 -1.126193  3.413820 3.41
222 2.287757 -1.089641  3.377398 3.38
223 2.287741 -1.061989  3.349730 3.35
224 2.287604 -1.043716  3.331319 3.33
225 2.287427 -1.033497  3.320925 3.32
226 2.287306 -1.029379  3.316685 3.32
227 2.287277 -1.030063  3.317340 3.32
228 2.287288 -1.035398  3.322687 3.32
229 2.287233 -1.045600  3.332832 3.33
230 2.287060 -1.059782  3.346842 3.35
231 2.396409 -1.075036  3.471445 3.47
232 2.396286 -1.087223  3.483508 3.48
233 2.396331 -1.094164  3.490495 3.49
234 2.396514 -1.096008  3.492521 3.49
235 2.396735 -1.094855  3.491591 3.49
236 2.396902 -1.093432  3.490334 3.49
237 2.396966 -1.093749  3.490715 3.49
238 2.396933 -1.096400  3.493333 3.49
239 2.396842 -1.100613  3.497455 3.50
240 2.396734 -1.104779  3.501514 3.50
241 2.351536 -1.107230  3.458766 3.46
242 2.351468 -1.106593  3.458061 3.46
243 2.351418 -1.101735  3.453154 3.45
244 2.351374 -1.091914  3.443288 3.44
245 2.351327 -1.076622  3.427949 3.43
246 2.351298 -1.055535  3.406832 3.41
247 2.351339 -1.028826  3.380165 3.38
248 2.351523 -0.997918  3.349441 3.35
249 2.351889 -0.966430  3.318319 3.32
250 2.352381 -0.940579  3.292959 3.29
251 2.516284 -0.927097  3.443380 3.44
252 2.516464 -0.932778  3.449243 3.45
253 2.516253 -0.960259  3.476512 3.48
254 2.515741 -1.006233  3.521974 3.52
255 2.515156 -1.062734  3.577889 3.58
256 2.514717 -1.120435  3.635152 3.64
257 2.514538 -1.171919  3.686457 3.69
258 2.514620 -1.213476  3.728096 3.73
259 2.514879 -1.245232  3.760112 3.76
260 2.515190 -1.269997  3.785187 3.79
261 2.186617 -1.291443  3.478060 3.48
262 2.186691 -1.314050  3.500741 3.50
263 2.186643 -1.338293  3.524936 3.52
264 2.186528 -1.362884  3.549412 3.55
265 2.186403 -1.385542  3.571945 3.57
266 2.186306 -1.403838  3.590143 3.59
267 2.186251 -1.415780  3.602030 3.60
268 2.186241 -1.420070  3.606311 3.61
269 2.186271 -1.416165  3.602436 3.60
270 2.186337 -1.404227  3.590564 3.59
271 2.052271 -1.385668  3.437939 3.44
272 2.052379 -1.361771  3.414150 3.41
273 2.052496 -1.334117  3.386613 3.39
274 2.052611 -1.304476  3.357087 3.36
275 2.052713 -1.274629  3.327342 3.33
276 2.052794 -1.246198  3.298992 3.30
277 2.052848 -1.220505  3.273353 3.27
278 2.052874 -1.198483  3.251356 3.25
279 2.052872 -1.180634  3.233506 3.23
280 2.052846 -1.167053  3.219899 3.22
281 2.289305 -1.156601  3.445906 3.45
282 2.289237 -1.148633  3.437871 3.44
283 2.289152 -1.142278  3.431430 3.43
284 2.289048 -1.136424  3.425472 3.43
285 2.288927 -1.129732  3.418659 3.42
286 2.288794 -1.120669  3.409463 3.41
287 2.288657 -1.107592  3.396249 3.40
288 2.288529 -1.088885  3.377414 3.38
289 2.288427 -1.063167  3.351594 3.35
290 2.288371 -1.029547  3.317917 3.32
291 2.426858 -0.986566  3.413424 3.41
292 2.426928 -0.935261  3.362189 3.36
293 2.427072 -0.877555  3.304628 3.30
294 2.427279 -0.816491  3.243769 3.24
295 2.427525 -0.756014  3.183539 3.18
296 2.427779 -0.700597  3.128376 3.13
297 2.428000 -0.654705  3.082705 3.08
298 2.428149 -0.622167  3.050316 3.05
299 2.428195 -0.605558  3.033753 3.03
300 2.428130 -0.605757  3.033887 3.03
301 2.850488 -0.620886  3.471374 3.47
302 2.850274 -0.646363  3.496638 3.50
303 2.850047 -0.678761  3.528809 3.53
304 2.849843 -0.714357  3.564200 3.56
305 2.849686 -0.749697  3.599383 3.60
306 2.849585 -0.781997  3.631582 3.63
307 2.849530 -0.809295  3.658825 3.66
308 2.849505 -0.830367  3.679872 3.68
309 2.849496 -0.844526  3.694022 3.69
310 2.849491 -0.851432  3.700923 3.70
311 2.604968 -0.851884  3.456852 3.46
312 2.604950 -0.846967  3.451917 3.45
313 2.604925 -0.836599  3.441525 3.44
314 2.604911 -0.820738  3.425649 3.43
315 2.604941 -0.799640  3.404581 3.40
316 2.605065 -0.774369  3.379435 3.38
317 2.605321 -0.747458  3.352779 3.35
318 2.605696 -0.723351  3.329047 3.33
319 2.606092 -0.708074  3.314167 3.31
320 2.606350 -0.707697  3.314046 3.31
321 2.748711 -0.725739  3.474450 3.47
322 2.748448 -0.761334  3.509781 3.51
323 2.748035 -0.810196  3.558231 3.56
324 2.747606 -0.865605  3.613210 3.61
325 2.747239 -0.920408  3.667647 3.67
326 2.746956 -0.968330  3.715286 3.72
327 2.746750 -1.004447  3.751197 3.75
328 2.746614 -1.025226  3.771840 3.77
329 2.746543 -1.028475  3.775018 3.78
330 2.746531 -1.013302  3.759833 3.76
331 2.443150 -0.982567  3.425717 3.43
332 2.443224 -0.938139  3.381363 3.38
333 2.443336 -0.882088  3.325423 3.33
334 2.443509 -0.817227  3.260736 3.26
335 2.443751 -0.747344  3.191095 3.19
336 2.444036 -0.677190  3.121226 3.12
337 2.444326 -0.612008  3.056334 3.06
338 2.444608 -0.556953  3.001562 3.00
339 2.444869 -0.516804  2.961673 2.96
340 2.445049 -0.495662  2.940711 2.94
341 2.960815 -0.493079  3.453894 3.45
342 2.960723 -0.508348  3.469071 3.47
343 2.960475 -0.539560  3.500034 3.50
344 2.960113 -0.582330  3.542443 3.54
345 2.959714 -0.630513  3.590226 3.59
346 2.959376 -0.677410  3.636786 3.64
347 2.959199 -0.717337  3.676536 3.68
348 2.959237 -0.747107  3.706344 3.71
349 2.959486 -0.766873  3.726359 3.73
350 2.959870 -0.780009  3.739879 3.74
351 2.676755 -0.792654  3.469409 3.47
352 2.676946 -0.811542  3.488488 3.49
353 2.676860 -0.839221  3.516080 3.52
354 2.676491 -0.874135  3.550626 3.55
355 2.675956 -0.910586  3.586542 3.59
356 2.675427 -0.940428  3.615855 3.62
357 2.675055 -0.955623  3.630678 3.63
358 2.674922 -0.950521  3.625444 3.63
359 2.675051 -0.923190  3.598241 3.60
360 2.675410 -0.875772  3.551182 3.55
361 2.581139 -0.815233  3.396372 3.40
362 2.581671 -0.749299  3.330970 3.33
363 2.582104 -0.686408  3.268512 3.27
364 2.582340 -0.633505  3.215845 3.22
365 2.582353 -0.594565  3.176918 3.18
366 2.582200 -0.570177  3.152377 3.15
367 2.581988 -0.558326  3.140314 3.14
368 2.581822 -0.555940  3.137762 3.14
369 2.581753 -0.560402  3.142155 3.14
370 2.581767 -0.570353  3.152120 3.15
371 2.886113 -0.584817  3.470931 3.47
372 2.886143 -0.602182  3.488325 3.49
373 2.886108 -0.622467  3.508575 3.51
374 2.886013 -0.644838  3.530851 3.53
375 2.885899 -0.667699  3.553598 3.55
376 2.885816 -0.689254  3.575069 3.58
377 2.885803 -0.708238  3.594041 3.59
378 2.885870 -0.724474  3.610344 3.61
379 2.885988 -0.738974  3.624962 3.62
380 2.886104 -0.753500  3.639604 3.64
381 2.702973 -0.770111  3.473084 3.47
382 2.702978 -0.790870  3.493848 3.49
383 2.702944 -0.815766  3.518710 3.52
384 2.702895 -0.844092  3.546987 3.55
385 2.702845 -0.874791  3.577636 3.58
386 2.702808 -0.906700  3.609508 3.61
387 2.702796 -0.938763  3.641559 3.64
388 2.702819 -0.970248  3.673067 3.67
389 2.702870 -1.000901  3.703771 3.70
390 2.702929 -1.030869  3.733798 3.73
391 2.425566 -1.060139  3.485706 3.49
392 2.425557 -1.090606  3.516163 3.52
393 2.425508 -1.121642  3.547150 3.55
394 2.425427 -1.152079  3.577506 3.58
395 2.425328 -1.180323  3.605651 3.61
396 2.425230 -1.204576  3.629806 3.63
397 2.425151 -1.223123  3.648274 3.65
398 2.425109 -1.234622  3.659731 3.66
399 2.425116 -1.238374  3.663489 3.66
400 2.425174 -1.234490  3.659664 3.66
401 2.222013 -1.224749  3.446763 3.45
402 2.222122 -1.211124  3.433246 3.43
403 2.222213 -1.195412  3.417625 3.42
404 2.222262 -1.179191  3.401453 3.40
405 2.222263 -1.163459  3.385722 3.39
406 2.222233 -1.148535  3.370768 3.37
407 2.222195 -1.134269  3.356464 3.36
408 2.222169 -1.120386  3.342555 3.34
409 2.222156 -1.106742  3.328898 3.33
410 2.222143 -1.093348  3.315491 3.32
411 2.363036 -1.079476  3.442512 3.44
412 2.363009 -1.064849  3.427858 3.43
413 2.362995 -1.049369  3.412364 3.41
414 2.363013 -1.033188  3.396202 3.40
415 2.363077 -1.016980  3.380057 3.38
416 2.363187 -1.002105  3.365292 3.37
417 2.363323 -0.990574  3.353897 3.35
418 2.363440 -0.984702  3.348142 3.35
419 2.363478 -0.986390  3.349868 3.35
420 2.363404 -0.996254  3.359658 3.36
421 2.459993 -1.013027  3.473020 3.47
422 2.459817 -1.033657  3.493475 3.49
423 2.459685 -1.055236  3.514921 3.51
424 2.459612 -1.075376  3.534988 3.53
425 2.459573 -1.092486  3.552059 3.55
426 2.459538 -1.105505  3.565043 3.57
427 2.459489 -1.113500  3.572989 3.57
428 2.459426 -1.115435  3.574861 3.57
429 2.459359 -1.110175  3.569534 3.57
430 2.459299 -1.096634  3.555933 3.56
431 2.359737 -1.074602  3.434339 3.43
432 2.359735 -1.043811  3.403547 3.40
433 2.359798 -1.004561  3.364358 3.36
434 2.359954 -0.958228  3.318182 3.32
435 2.360224 -0.907684  3.267908 3.27
436 2.360587 -0.857491  3.218078 3.22
437 2.360968 -0.813509  3.174477 3.17
438 2.361250 -0.781704  3.142954 3.14
439 2.361336 -0.766432  3.127768 3.13
440 2.361202 -0.769009  3.130212 3.13
441 2.687097 -0.787041  3.474138 3.47
442 2.686740 -0.814430  3.501170 3.50
443 2.686416 -0.845554  3.531970 3.53
444 2.686179 -0.875203  3.561382 3.56
445 2.686056 -0.899460  3.585516 3.59
446 2.686047 -0.916135  3.602181 3.60
447 2.686130 -0.924808  3.610938 3.61
448 2.686263 -0.926511  3.612774 3.61
449 2.686393 -0.923078  3.609470 3.61
450 2.686489 -0.916411  3.602900 3.60
451 2.540060 -0.908666  3.448727 3.45
452 2.540115 -0.901254  3.441368 3.44
453 2.540179 -0.895128  3.435307 3.44
454 2.540241 -0.891354  3.431596 3.43
455 2.540264 -0.890931  3.431196 3.43
