#Step   Etot   PotE Ktot  T
0 0.847454 -2.635842  3.483296 3.48
10 0.846964 -2.298572  3.145536 3.15
20 0.848108 -1.420337  2.268446 2.27
30 0.847537 -1.339655  2.187192 2.19
40 0.847364 -1.510540  2.357904 2.36
50 0.847296 -1.556843  2.404139 2.40
60 0.847668 -1.443122  2.290790 2.29
70 0.846979 -1.503848  2.350827 2.35
80 0.847598 -1.422000  2.269598 2.27
90 0.847133 -1.583056  2.430189 2.43
100 0.847161 -1.514840  2.362001 2.36
110 0.847423 -1.493508  2.340932 2.34
120 0.846901 -1.829572  2.676472 2.68
130 0.847522 -1.739167  2.586688 2.59
140 0.847327 -1.502760  2.350087 2.35
150 0.847161 -1.464310  2.311472 2.31
160 0.847475 -1.478697  2.326172 2.33
170 0.847184 -1.448999  2.296183 2.30
180 0.847576 -1.415480  2.263056 2.26
190 0.847164 -1.494009  2.341173 2.34
200 0.847380 -1.427178  2.274559 2.27
210 0.847157 -1.615816  2.462973 2.46
220 0.847186 -1.577813  2.424999 2.42
230 0.847566 -1.450741  2.298307 2.30
240 0.847326 -1.714958  2.562284 2.56
250 0.847365 -1.767147  2.614512 2.61
260 0.847302 -1.697712  2.545013 2.55
270 0.847424 -1.479591  2.327015 2.33
280 0.847193 -1.293429  2.140622 2.14
290 0.847309 -1.310886  2.158195 2.16
300 0.847006 -1.435014  2.282019 2.28
310 0.847092 -1.489378  2.336470 2.34
320 0.847395 -1.425943  2.273338 2.27
330 0.847147 -1.467986  2.315133 2.32
340 0.847212 -1.635599  2.482811 2.48
350 0.847471 -1.517077  2.364548 2.36
360 0.847233 -1.558832  2.406066 2.41
370 0.846790 -1.453422  2.300212 2.30
380 0.848174 -1.059061  1.907235 1.91
390 0.846755 -1.641018  2.487773 2.49
400 0.847189 -1.692513  2.539702 2.54
410 0.847130 -1.550036  2.397166 2.40
420 0.847447 -1.417033  2.264480 2.26
430 0.846948 -1.535495  2.382443 2.38
440 0.847266 -1.572922  2.420188 2.42
450 0.846964 -1.569496  2.416460 2.42
460 0.847496 -1.434372  2.281869 2.28
470 0.847321 -1.560028  2.407350 2.41
480 0.847476 -1.509953  2.357429 2.36
490 0.847301 -1.494902  2.342203 2.34
500 0.847444 -1.508362  2.355806 2.36
510 0.847042 -1.543919  2.390961 2.39
520 0.847841 -1.319971  2.167812 2.17
530 0.846964 -1.533870  2.380834 2.38
540 0.847159 -1.451973  2.299132 2.30
550 0.847303 -1.489467  2.336770 2.34
560 0.847101 -1.674273  2.521374 2.52
570 0.847390 -1.514291  2.361680 2.36
580 0.847571 -1.389678  2.237248 2.24
590 0.847244 -1.455700  2.302944 2.30
600 0.847147 -1.485418  2.332565 2.33
610 0.847582 -1.429446  2.277028 2.28
620 0.847078 -1.559325  2.406402 2.41
630 0.847542 -1.451068  2.298609 2.30
640 0.847305 -1.453829  2.301133 2.30
650 0.847247 -1.381929  2.229176 2.23
660 0.847333 -1.442191  2.289524 2.29
670 0.847065 -1.627223  2.474288 2.47
680 0.847179 -1.496041  2.343219 2.34
690 0.847590 -1.371795  2.219385 2.22
700 0.847276 -1.467519  2.314795 2.31
710 0.846953 -1.534059  2.381012 2.38
720 0.847506 -1.428717  2.276223 2.28
730 0.847263 -1.616641  2.463904 2.46
740 0.847321 -1.620969  2.468290 2.47
750 0.847426 -1.490178  2.337605 2.34
760 0.847412 -1.520764  2.368176 2.37
770 0.847029 -1.658313  2.505342 2.51
780 0.847370 -1.471949  2.319319 2.32
790 0.847102 -1.382529  2.229632 2.23
800 0.847515 -1.306948  2.154463 2.15
810 0.846962 -1.521610  2.368572 2.37
820 0.847549 -1.711245  2.558794 2.56
830 0.846965 -1.913067  2.760032 2.76
840 0.847722 -1.486972  2.334694 2.33
850 0.847328 -1.368210  2.215538 2.22
860 0.847171 -1.513046  2.360217 2.36
870 0.847403 -1.472264  2.319667 2.32
880 0.847200 -1.471223  2.318423 2.32
890 0.847126 -1.442268  2.289394 2.29
900 0.847507 -1.417730  2.265236 2.27
910 0.847178 -1.645676  2.492854 2.49
920 0.847183 -1.722969  2.570152 2.57
930 0.847315 -1.628586  2.475901 2.48
940 0.847771 -1.451652  2.299423 2.30
950 0.847155 -1.554003  2.401158 2.40
960 0.847213 -1.545441  2.392654 2.39
970 0.847391 -1.340121  2.187512 2.19
980 0.847044 -1.455592  2.302636 2.30
990 0.847266 -1.573991  2.421256 2.42
