#Step   Etot   PotE Ktot  T
144 0.818278 -1.608041  2.426318 2.43
145 0.818261 -1.612548  2.430809 2.43
146 0.818246 -1.616447  2.434693 2.43
147 0.818235 -1.619459  2.437694 2.44
148 0.818233 -1.621399  2.439632 2.44
149 0.818245 -1.622247  2.440492 2.44
150 0.818269 -1.622197  2.440466 2.44
151 0.818300 -1.621641  2.439942 2.44
152 0.818325 -1.621065  2.439390 2.44
153 0.818328 -1.620855  2.439183 2.44
154 0.818301 -1.621082  2.439384 2.44
155 0.818245 -1.621377  2.439622 2.44
156 0.818172 -1.620943  2.439115 2.44
157 0.818100 -1.618734  2.436834 2.44
158 0.818043 -1.613713  2.431756 2.43
159 0.818011 -1.605078  2.423089 2.42
160 0.818006 -1.592409  2.410415 2.41
161 0.818029 -1.575718  2.393747 2.39
162 0.818076 -1.555439  2.373515 2.37
163 0.818145 -1.532394  2.350539 2.35
164 0.818234 -1.507753  2.325987 2.33
165 0.818337 -1.482979  2.301316 2.30
166 0.818447 -1.459736  2.278183 2.28
167 0.818551 -1.439756  2.258307 2.26
168 0.818638 -1.424661  2.243300 2.24
169 0.818697 -1.415782  2.234479 2.23
170 0.818719 -1.413980  2.232699 2.23
171 0.818700 -1.419518  2.238218 2.24
172 0.818641 -1.432002  2.250643 2.25
173 0.818550 -1.450403  2.268952 2.27
174 0.818439 -1.473182  2.291621 2.29
175 0.818323 -1.498487  2.316810 2.32
176 0.818214 -1.524365  2.342580 2.34
177 0.818121 -1.548966  2.367087 2.37
178 0.818048 -1.570680  2.388727 2.39
179 0.817994 -1.588211  2.406205 2.41
180 0.817960 -1.600605  2.418564 2.42
181 0.817943 -1.607236  2.425179 2.43
182 0.817943 -1.607799  2.425742 2.43
183 0.817961 -1.602299  2.420260 2.42
184 0.817997 -1.591059  2.409057 2.41
185 0.818053 -1.574732  2.392785 2.39
186 0.818129 -1.554300  2.372429 2.37
187 0.818221 -1.531065  2.349286 2.35
188 0.818326 -1.506604  2.324931 2.32
189 0.818438 -1.482695  2.301133 2.30
190 0.818546 -1.461199  2.279745 2.28
191 0.818638 -1.443903  2.262541 2.26
192 0.818700 -1.432323  2.251023 2.25
193 0.818720 -1.427484  2.246204 2.25
194 0.818692 -1.429748  2.248440 2.25
195 0.818622 -1.438732  2.257354 2.26
196 0.818525 -1.453389  2.271913 2.27
197 0.818419 -1.472219  2.290638 2.29
198 0.818325 -1.493569  2.311894 2.31
199 0.818254 -1.515908  2.334162 2.33
200 0.818213 -1.538035  2.356248 2.36
201 0.818200 -1.559168  2.377368 2.38
202 0.818205 -1.578925  2.397130 2.40
203 0.818219 -1.597211  2.415430 2.42
204 0.818229 -1.614061  2.432291 2.43
205 0.818226 -1.629475  2.447701 2.45
206 0.818205 -1.643280  2.461485 2.46
207 0.818167 -1.655075  2.473242 2.47
208 0.818118 -1.664249  2.482367 2.48
209 0.818067 -1.670075  2.488142 2.49
210 0.818025 -1.671846  2.489871 2.49
211 0.818002 -1.669037  2.487039 2.49
212 0.818006 -1.661449  2.479454 2.48
213 0.818043 -1.649334  2.467377 2.47
214 0.818115 -1.633479  2.451594 2.45
215 0.818220 -1.615217  2.433437 2.43
216 0.818345 -1.596358  2.414702 2.41
217 0.818469 -1.578986  2.397455 2.40
218 0.818566 -1.565135  2.383700 2.38
219 0.818607 -1.556362  2.374969 2.37
220 0.818577 -1.553349  2.371925 2.37
221 0.818482 -1.555679  2.374161 2.37
222 0.818345 -1.561927  2.380272 2.38
223 0.818201 -1.570018  2.388219 2.39
224 0.818078 -1.577732  2.395810 2.40
225 0.817994 -1.583145  2.401139 2.40
226 0.817955 -1.584921  2.402876 2.40
227 0.817961 -1.582428  2.400389 2.40
228 0.818007 -1.575746  2.393753 2.39
229 0.818090 -1.565610  2.383699 2.38
230 0.818201 -1.553329  2.371530 2.37
231 0.818331 -1.540668  2.358998 2.36
232 0.818467 -1.529680  2.348147 2.35
233 0.818590 -1.522486  2.341075 2.34
234 0.818680 -1.520985  2.339665 2.34
235 0.818720 -1.526551  2.345271 2.35
236 0.818698 -1.539759  2.358457 2.36
237 0.818616 -1.560223  2.378839 2.38
238 0.818486 -1.586616  2.405102 2.41
239 0.818330 -1.616866  2.435196 2.44
240 0.818175 -1.648494  2.466668 2.47
241 0.818041 -1.678999  2.497040 2.50
242 0.817945 -1.706199  2.524143 2.52
243 0.817892 -1.728467  2.546359 2.55
244 0.817883 -1.744852  2.562735 2.56
245 0.817911 -1.755085  2.572996 2.57
246 0.817965 -1.759491  2.577456 2.58
247 0.818030 -1.758819  2.576849 2.58
248 0.818089 -1.754024  2.572112 2.57
249 0.818130 -1.746024  2.564154 2.56
250 0.818151 -1.735532  2.553682 2.55
251 0.818159 -1.723003  2.541162 2.54
252 0.818175 -1.708763  2.526938 2.53
253 0.818217 -1.693267  2.511484 2.51
254 0.818296 -1.677363  2.495659 2.50
255 0.818398 -1.662406  2.480804 2.48
256 0.818491 -1.650045  2.468536 2.47
257 0.818529 -1.641708  2.460237 2.46
258 0.818488 -1.637981  2.456468 2.46
259 0.818373 -1.638238  2.456611 2.46
260 0.818220 -1.640751  2.458971 2.46
261 0.818068 -1.643191  2.461258 2.46
262 0.817942 -1.643224  2.461166 2.46
263 0.817854 -1.638942  2.456796 2.46
264 0.817801 -1.629046  2.446847 2.45
265 0.817782 -1.612872  2.430655 2.43
266 0.817803 -1.590401  2.408205 2.41
267 0.817877 -1.562337  2.380214 2.38
268 0.818019 -1.530287  2.348306 2.35
269 0.818231 -1.496929  2.315160 2.32
270 0.818479 -1.465947  2.284426 2.28
271 0.818692 -1.441461  2.260153 2.26
272 0.818789 -1.426927  2.245717 2.25
273 0.818735 -1.423960  2.242695 2.24
274 0.818569 -1.431821  2.250390 2.25
275 0.818373 -1.447961  2.266334 2.27
276 0.818220 -1.469226  2.287447 2.29
277 0.818137 -1.492940  2.311077 2.31
278 0.818108 -1.517363  2.335471 2.34
279 0.818105 -1.541560  2.359664 2.36
280 0.818101 -1.565011  2.383112 2.38
281 0.818088 -1.587265  2.405352 2.41
282 0.818065 -1.607779  2.425843 2.43
283 0.818039 -1.625926  2.443965 2.44
284 0.818016 -1.641079  2.459095 2.46
