#Step   Etot   PotE Ktot  T
0 0.818305 -2.635526  3.453831 3.45
1 0.818293 -2.627775  3.446068 3.45
2 0.818268 -2.614721  3.432989 3.43
3 0.818230 -2.596081  3.414311 3.41
4 0.818180 -2.571428  3.389608 3.39
5 0.818119 -2.540205  3.358324 3.36
6 0.818049 -2.501742  3.319791 3.32
7 0.817972 -2.455290  3.273262 3.27
8 0.817894 -2.400069  3.217963 3.22
9 0.817821 -2.335345  3.153166 3.15
10 0.817765 -2.260545  3.078310 3.08
11 0.817738 -2.175406  2.993145 2.99
12 0.817757 -2.080174  2.897931 2.90
13 0.817835 -1.975812  2.793647 2.79
14 0.817983 -1.864206  2.682188 2.68
15 0.818201 -1.748282  2.566482 2.57
16 0.818474 -1.631979  2.450453 2.45
17 0.818773 -1.519996  2.338770 2.34
18 0.819057 -1.417325  2.236382 2.24
19 0.819281 -1.328615  2.147897 2.15
20 0.819415 -1.257538  2.076953 2.08
21 0.819442 -1.206292  2.025735 2.03
22 0.819368 -1.175378  1.994745 1.99
23 0.819213 -1.163663  1.982876 1.98
24 0.819008 -1.168709  1.987717 1.99
25 0.818786 -1.187226  2.006012 2.01
26 0.818572 -1.215572  2.034144 2.03
27 0.818386 -1.250168  2.068554 2.07
28 0.821756 -1.286872  2.108628 2.11
29 0.821651 -1.323699  2.145350 2.15
30 0.821585 -1.358666  2.180251 2.18
31 0.821551 -1.390397  2.211948 2.21
32 0.821544 -1.418052  2.239596 2.24
33 0.821558 -1.441238  2.262796 2.26
34 0.821588 -1.459931  2.281520 2.28
35 0.821631 -1.474400  2.296031 2.30
36 0.821682 -1.485141  2.306823 2.31
37 0.821738 -1.492821  2.314558 2.31
38 0.821792 -1.498193  2.319985 2.32
39 0.821840 -1.502018  2.323858 2.32
40 0.821877 -1.504974  2.326851 2.33
41 0.821903 -1.507589  2.329492 2.33
42 0.821918 -1.510225  2.332143 2.33
43 0.821930 -1.513103  2.335033 2.34
44 0.821941 -1.516375  2.338316 2.34
45 0.821958 -1.520198  2.342156 2.34
46 0.821979 -1.524792  2.346772 2.35
47 0.822004 -1.530448  2.352452 2.35
48 0.822026 -1.537493  2.359519 2.36
49 0.822040 -1.546217  2.368258 2.37
50 0.822041 -1.556785  2.378826 2.38
51 0.822023 -1.569152  2.391174 2.39
52 0.821985 -1.582997  2.404982 2.40
53 0.821928 -1.597707  2.419635 2.42
54 0.821857 -1.612394  2.434252 2.43
55 0.821779 -1.625974  2.447753 2.45
56 0.821702 -1.637266  2.458968 2.46
57 0.821635 -1.645125  2.466760 2.47
58 0.821585 -1.648573  2.470158 2.47
59 0.821559 -1.646918  2.468477 2.47
60 0.821561 -1.639851  2.461412 2.46
61 0.821594 -1.627517  2.449111 2.45
62 0.821659 -1.610553  2.432212 2.43
63 0.821751 -1.590087  2.411838 2.41
64 0.821866 -1.567682  2.389549 2.39
65 0.821994 -1.545241  2.367235 2.37
66 0.822122 -1.524841  2.346962 2.35
67 0.822234 -1.508539  2.330773 2.33
68 0.822317 -1.498136  2.320453 2.32
69 0.822355 -1.494935  2.317290 2.32
70 0.822338 -1.499523  2.321861 2.32
71 0.822266 -1.511632  2.333898 2.33
72 0.822148 -1.530128  2.352276 2.35
73 0.822001 -1.553154  2.375155 2.38
74 0.822893 -1.580722  2.403615 2.40
75 0.822747 -1.607413  2.430160 2.43
76 0.822628 -1.630881  2.453509 2.45
77 0.822543 -1.649200  2.471743 2.47
78 0.822494 -1.660979  2.483473 2.48
79 0.822481 -1.665416  2.487897 2.49
80 0.822506 -1.662322  2.484829 2.48
81 0.822569 -1.652131  2.474700 2.47
82 0.822666 -1.635889  2.458555 2.46
83 0.822790 -1.615198  2.437988 2.44
84 0.822928 -1.592089  2.415017 2.42
85 0.823060 -1.568800  2.391860 2.39
86 0.823167 -1.547477  2.370644 2.37
87 0.823233 -1.529878  2.353111 2.35
88 0.823255 -1.517144  2.340399 2.34
89 0.823239 -1.509729  2.332968 2.33
90 0.806610 -1.507168  2.313778 2.31
91 0.806553 -1.509189  2.315743 2.32
92 0.806492 -1.514953  2.321445 2.32
93 0.806432 -1.523522  2.329954 2.33
94 0.806376 -1.533955  2.340331 2.34
95 0.806324 -1.545350  2.351674 2.35
96 0.806279 -1.556875  2.363154 2.36
97 0.806243 -1.567797  2.374040 2.37
98 0.806218 -1.577526  2.383744 2.38
99 0.806205 -1.585647  2.391852 2.39
100 0.806202 -1.591932  2.398134 2.40
101 0.806202 -1.596297  2.402498 2.40
102 0.806197 -1.598709  2.404905 2.40
103 0.806181 -1.599074  2.405255 2.41
104 0.806154 -1.597159  2.403313 2.40
105 0.806121 -1.592585  2.398706 2.40
106 0.806092 -1.584908  2.391000 2.39
107 0.806078 -1.573762  2.379840 2.38
108 0.806087 -1.559018  2.365105 2.37
