#Step   Etot   PotE Ktot  T
144 0.847373 -1.380712  2.228085 2.23
145 0.847601 -1.352350  2.199952 2.20
146 0.847805 -1.330953  2.178758 2.18
147 0.847927 -1.319661  2.167587 2.17
148 0.847933 -1.320318  2.168251 2.17
149 0.847821 -1.332957  2.180778 2.18
150 0.847626 -1.355787  2.203413 2.20
151 0.847401 -1.385690  2.233091 2.23
152 0.847195 -1.419001  2.266197 2.27
153 0.847043 -1.452273  2.299317 2.30
154 0.846957 -1.482802  2.329759 2.33
155 0.846931 -1.508842  2.355772 2.36
156 0.846946 -1.529543  2.376489 2.38
157 0.846984 -1.544725  2.391709 2.39
158 0.847030 -1.554611  2.401641 2.40
159 0.847074 -1.559600  2.406673 2.41
160 0.847113 -1.560136  2.407248 2.41
161 0.847147 -1.556652  2.403799 2.40
162 0.847176 -1.549562  2.396737 2.40
163 0.847200 -1.539253  2.386453 2.39
164 0.847222 -1.526092  2.373313 2.37
165 0.847245 -1.510440  2.357685 2.36
166 0.847278 -1.492721  2.339999 2.34
167 0.847327 -1.473518  2.320845 2.32
168 0.847393 -1.453657  2.301050 2.30
169 0.847473 -1.434228  2.281701 2.28
170 0.847555 -1.416508  2.264063 2.26
171 0.847627 -1.401794  2.249422 2.25
172 0.847678 -1.391222  2.238900 2.24
173 0.847702 -1.385607  2.233309 2.23
174 0.847700 -1.385360  2.233059 2.23
175 0.847673 -1.390479  2.238152 2.24
176 0.847629 -1.400594  2.248223 2.25
177 0.847576 -1.415067  2.262643 2.26
178 0.847526 -1.433124  2.280651 2.28
179 0.847490 -1.454022  2.301512 2.30
180 0.847468 -1.477176  2.324644 2.32
181 0.847453 -1.502193  2.349645 2.35
182 0.847423 -1.528736  2.376159 2.38
183 0.847359 -1.556237  2.403596 2.40
184 0.847252 -1.583608  2.430859 2.43
185 0.847116 -1.609147  2.456263 2.46
186 0.846986 -1.630769  2.477755 2.48
187 0.846899 -1.646498  2.493397 2.49
188 0.846881 -1.655018  2.501899 2.50
189 0.846938 -1.656060  2.502998 2.50
190 0.847053 -1.650482  2.497535 2.50
191 0.847190 -1.640022  2.487213 2.49
192 0.847308 -1.626772  2.474080 2.47
193 0.847374 -1.612563  2.459937 2.46
194 0.847380 -1.598504  2.445884 2.45
195 0.847342 -1.584849  2.432191 2.43
196 0.847287 -1.571213  2.418500 2.42
197 0.847242 -1.556970  2.404212 2.40
198 0.847224 -1.541645  2.388869 2.39
199 0.847241 -1.525181  2.372422 2.37
200 0.847295 -1.508067  2.355363 2.36
201 0.847381 -1.491357  2.338738 2.34
202 0.847484 -1.476564  2.324048 2.32
203 0.847580 -1.465436  2.313017 2.31
204 0.847642 -1.459590  2.307232 2.31
205 0.847646 -1.460091  2.307737 2.31
206 0.847588 -1.467130  2.314718 2.31
207 0.847487 -1.479958  2.327444 2.33
208 0.847379 -1.497160  2.344539 2.34
209 0.847307 -1.517196  2.364503 2.36
210 0.847291 -1.538969  2.386260 2.39
211 0.847316 -1.562113  2.409429 2.41
212 0.847337 -1.586774  2.434111 2.43
213 0.847302 -1.612940  2.460242 2.46
214 0.847193 -1.639736  2.486929 2.49
215 0.847038 -1.665184  2.512221 2.51
216 0.846890 -1.686620  2.533510 2.53
217 0.846794 -1.701473  2.548267 2.55
218 0.846766 -1.707934  2.554700 2.55
219 0.846802 -1.705255  2.552057 2.55
220 0.846884 -1.693710  2.540594 2.54
221 0.846996 -1.674379  2.521376 2.52
222 0.847123 -1.648893  2.496016 2.50
223 0.847253 -1.619195  2.466447 2.47
224 0.847373 -1.587341  2.434714 2.43
225 0.847475 -1.555307  2.402783 2.40
226 0.847553 -1.524832  2.372385 2.37
227 0.847605 -1.497306  2.344911 2.34
228 0.847636 -1.473743  2.321380 2.32
229 0.847652 -1.454826  2.302478 2.30
230 0.847657 -1.440975  2.288632 2.29
