#Step   Etot   PotE Ktot  T
0 0.850030 -2.635537  3.485567 3.49
1 0.857935 -2.627632  3.485567 3.49
2 0.871590 -2.613977  3.485567 3.49
3 0.891588 -2.593978  3.485567 3.49
4 0.918724 -2.566842  3.485567 3.49
5 0.954014 -2.531552  3.485567 3.49
6 0.998718 -2.486848  3.485567 3.49
7 1.054336 -2.431231  3.485567 3.49
8 1.122564 -2.363002  3.485567 3.49
9 1.205167 -2.280399  3.485567 3.49
10 1.303698 -2.181868  3.485567 3.49
11 1.419018 -2.066548  3.485567 3.49
12 1.550604 -1.934962  3.485567 3.49
13 1.695839 -1.789727  3.485567 3.49
14 1.849741 -1.635826  3.485567 3.49
15 2.005668 -1.479899  3.485567 3.49
16 2.157020 -1.328547  3.485567 3.49
17 2.298872 -1.186694  3.485567 3.49
18 2.428225 -1.057342  3.485567 3.49
19 2.542816 -0.942751  3.485567 3.49
20 2.639879 -0.845687  3.485567 3.49
21 2.716057 -0.769510  3.485567 3.49
22 2.768382 -0.717185  3.485567 3.49
23 2.795466 -0.690100  3.485567 3.49
24 2.798158 -0.687408  3.485567 3.49
25 2.779467 -0.706100  3.485567 3.49
26 2.743984 -0.741583  3.485567 3.49
27 2.697158 -0.788409  3.485567 3.49
28 2.644657 -0.840909  3.485567 3.49
29 2.591920 -0.893646  3.485567 3.49
30 2.543844 -0.941723  3.485567 3.49
31 2.504535 -0.981032  3.485567 3.49
32 2.477061 -1.008506  3.485567 3.49
33 2.463203 -1.022363  3.485567 3.49
34 2.463290 -1.022277  3.485567 3.49
35 2.476276 -1.009291  3.485567 3.49
36 2.500210 -0.985357  3.485567 3.49
37 2.533066 -0.952501  3.485567 3.49
38 2.573714 -0.911853  3.485567 3.49
39 2.622619 -0.862947  3.485567 3.49
40 2.681862 -0.803705  3.485567 3.49
41 2.754269 -0.731297  3.485567 3.49
42 2.841729 -0.643837  3.485567 3.49
43 2.942926 -0.542641  3.485567 3.49
44 3.050750 -0.434816  3.485567 3.49
45 3.150082 -0.335484  3.485567 3.49
46 3.218139 -0.267427  3.485567 3.49
47 3.230980 -0.254586  3.485567 3.49
48 3.176245 -0.309321  3.485567 3.49
49 3.062686 -0.422881  3.485567 3.49
50 2.915410 -0.570157  3.485567 3.49
51 2.761240 -0.724326  3.485567 3.49
52 2.618463 -0.867103  3.485567 3.49
53 2.495845 -0.989722  3.485567 3.49
54 2.396182 -1.089385  3.485567 3.49
55 2.319670 -1.165897  3.485567 3.49
56 2.265609 -1.219957  3.485567 3.49
57 2.232756 -1.252811  3.485567 3.49
58 2.219051 -1.266515  3.485567 3.49
59 2.221358 -1.264208  3.485567 3.49
60 2.235568 -1.249998  3.485567 3.49
61 2.257127 -1.228440  3.485567 3.49
62 2.281696 -1.203870  3.485567 3.49
63 2.305599 -1.179967  3.485567 3.49
64 2.325918 -1.159648  3.485567 3.49
65 2.340442 -1.145125  3.485567 3.49
66 2.347735 -1.137831  3.485567 3.49
67 2.347417 -1.138149  3.485567 3.49
68 2.340466 -1.145101  3.485567 3.49
69 2.329291 -1.156275  3.485567 3.49
70 2.317444 -1.168122  3.485567 3.49
71 2.309033 -1.176533  3.485567 3.49
72 2.308047 -1.177519  3.485567 3.49
73 2.317727 -1.167839  3.485567 3.49
74 2.340020 -1.145546  3.485567 3.49
75 2.375148 -1.110419  3.485567 3.49
76 2.421398 -1.064168  3.485567 3.49
77 2.475334 -1.010232  3.485567 3.49
78 2.532480 -0.953087  3.485567 3.49
79 2.588201 -0.897365  3.485567 3.49
80 2.638279 -0.847287  3.485567 3.49
81 2.679031 -0.806536  3.485567 3.49
82 2.707539 -0.778028  3.485567 3.49
83 2.722614 -0.762952  3.485567 3.49
84 2.726018 -0.759548  3.485567 3.49
85 2.722522 -0.763044  3.485567 3.49
86 2.718113 -0.767453  3.485567 3.49
87 2.717378 -0.768188  3.485567 3.49
88 2.721689 -0.763878  3.485567 3.49
89 2.728981 -0.756586  3.485567 3.49
90 2.734996 -0.750570  3.485567 3.49
91 2.735385 -0.750181  3.485567 3.49
92 2.727738 -0.757829  3.485567 3.49
93 2.712514 -0.773052  3.485567 3.49
94 2.692477 -0.793089  3.485567 3.49
95 2.671211 -0.814356  3.485567 3.49
96 2.651713 -0.833854  3.485567 3.49
97 2.635652 -0.849915  3.485567 3.49
98 2.623249 -0.862317  3.485567 3.49
99 2.613497 -0.872069  3.485567 3.49
100 2.604449 -0.881118  3.485567 3.49
101 2.593515 -0.892051  3.485567 3.49
102 2.577866 -0.907700  3.485567 3.49
103 2.555040 -0.930527  3.485567 3.49
104 2.523690 -0.961877  3.485567 3.49
105 2.484138 -1.001428  3.485567 3.49
106 2.438397 -1.047170  3.485567 3.49
107 2.389626 -1.095941  3.485567 3.49
108 2.341328 -1.144238  3.485567 3.49
109 2.296652 -1.188915  3.485567 3.49
110 2.257957 -1.227609  3.485567 3.49
111 2.226605 -1.258961  3.485567 3.49
112 2.202844 -1.282723  3.485567 3.49
113 2.185745 -1.299822  3.485567 3.49
114 2.173247 -1.312320  3.485567 3.49
115 2.162456 -1.323111  3.485567 3.49
116 2.150386 -1.335180  3.485567 3.49
117 2.135095 -1.350471  3.485567 3.49
118 2.116750 -1.368816  3.485567 3.49
119 2.097886 -1.387681  3.485567 3.49
120 2.082561 -1.403006  3.485567 3.49
121 2.074957 -1.410610  3.485567 3.49
