#Step   Etot   PotE Ktot  T
144 0.818357 -1.535417  2.353774 2.35
145 0.818332 -1.557841  2.376173 2.38
146 0.818288 -1.581099  2.399386 2.40
147 0.818232 -1.604401  2.422633 2.42
148 0.818741 -1.626776  2.445517 2.45
149 0.818683 -1.647202  2.465885 2.47
150 0.818630 -1.664675  2.483305 2.48
151 0.818589 -1.678304  2.496893 2.50
152 0.818562 -1.687384  2.505945 2.51
153 0.818550 -1.691445  2.509994 2.51
154 0.818553 -1.690282  2.508836 2.51
155 0.818571 -1.683959  2.502530 2.50
156 0.818600 -1.672784  2.491384 2.49
157 0.818640 -1.657283  2.475923 2.48
158 0.818688 -1.638169  2.456857 2.46
159 0.818743 -1.616310  2.435053 2.44
160 0.818805 -1.592709  2.411514 2.41
161 0.818871 -1.568478  2.387349 2.39
162 0.818939 -1.544799  2.363738 2.36
163 0.819002 -1.522863  2.341865 2.34
164 0.819057 -1.503783  2.322840 2.32
165 0.819096 -1.488510  2.307606 2.31
166 0.819116 -1.477744  2.296860 2.30
167 0.819114 -1.471865  2.290980 2.29
168 0.819089 -1.470890  2.289979 2.29
169 0.819041 -1.474446  2.293487 2.29
170 0.818973 -1.481791  2.300764 2.30
171 0.818892 -1.491865  2.310757 2.31
172 0.818804 -1.503384  2.322189 2.32
173 0.818717 -1.514956  2.333673 2.33
174 0.818638 -1.525196  2.343834 2.34
175 0.818575 -1.532852  2.351426 2.35
176 0.818531 -1.536918  2.355450 2.36
177 0.818512 -1.536729  2.355240 2.36
178 0.818513 -1.532002  2.350515 2.35
179 0.818529 -1.522822  2.341351 2.34
180 0.818548 -1.509535  2.328083 2.33
181 0.818558 -1.492591  2.311149 2.31
182 0.818551 -1.472371  2.290923 2.29
183 0.818529 -1.449080  2.267609 2.27
184 0.818505 -1.422770  2.241275 2.24
185 0.818506 -1.393549  2.212055 2.21
186 0.818564 -1.361953  2.180517 2.18
187 0.818702 -1.329380  2.148082 2.15
188 0.818918 -1.298377  2.117296 2.12
189 0.819175 -1.272569  2.091744 2.09
190 0.819401 -1.256039  2.075439 2.08
191 0.819522 -1.252272  2.071794 2.07
192 0.819499 -1.263077  2.082575 2.08
193 0.819342 -1.287990  2.107332 2.11
194 0.819103 -1.324446  2.143548 2.14
195 0.818839 -1.368513  2.187352 2.19
196 0.818597 -1.415785  2.234382 2.23
197 0.818403 -1.462101  2.280504 2.28
198 0.818269 -1.503998  2.322267 2.32
199 0.818195 -1.538929  2.357124 2.36
200 0.811350 -1.565174  2.376524 2.38
201 0.811389 -1.582249  2.393638 2.39
202 0.811474 -1.590439  2.401913 2.40
203 0.811597 -1.590806  2.402403 2.40
204 0.811743 -1.585043  2.396786 2.40
205 0.811895 -1.575244  2.387138 2.39
206 0.812029 -1.563617  2.375646 2.38
207 0.812126 -1.552148  2.364274 2.36
208 0.812172 -1.542284  2.354456 2.35
209 0.812167 -1.534742  2.346909 2.35
210 0.812123 -1.529495  2.341618 2.34
211 0.812062 -1.525951  2.338014 2.34
212 0.812007 -1.523264  2.335271 2.34
213 0.811974 -1.520659  2.332634 2.33
214 0.811972 -1.517691  2.329663 2.33
215 0.811996 -1.514350  2.326346 2.33
216 0.812040 -1.511034  2.323074 2.32
217 0.812089 -1.508416  2.320505 2.32
218 0.812136 -1.507266  2.319402 2.32
219 0.812174 -1.508308  2.320482 2.32
220 0.812201 -1.512117  2.324318 2.32
221 0.812217 -1.519090  2.331307 2.33
222 0.812220 -1.529424  2.341644 2.34
223 0.812207 -1.543090  2.355297 2.36
224 0.812174 -1.559783  2.371957 2.37
225 0.812120 -1.578863  2.390982 2.39
226 0.812050 -1.599360  2.411411 2.41
227 0.811975 -1.620059  2.432035 2.43
228 0.811907 -1.639653  2.451561 2.45
229 0.811857 -1.656935  2.468792 2.47
230 0.811831 -1.670959  2.482790 2.48
231 0.811828 -1.681137  2.492965 2.49
232 0.811846 -1.687257  2.499103 2.50
233 0.811879 -1.689439  2.501318 2.50
234 0.811917 -1.688042  2.499959 2.50
235 0.811954 -1.683551  2.495505 2.50
236 0.811984 -1.676467  2.488451 2.49
237 0.812005 -1.667227  2.479232 2.48
238 0.812020 -1.656168  2.468188 2.47
239 0.812035 -1.643567  2.455602 2.46
240 0.812058 -1.629731  2.441789 2.44
241 0.812095 -1.615109  2.427204 2.43
242 0.812145 -1.600356  2.412501 2.41
243 0.812198 -1.586301  2.398499 2.40
244 0.812237 -1.573796  2.386033 2.39
245 0.812250 -1.563485  2.375735 2.38
246 0.812234 -1.555618  2.367853 2.37
247 0.812197 -1.550002  2.362199 2.36
248 0.812153 -1.546112  2.358265 2.36
249 0.812119 -1.543320  2.355439 2.36
250 0.812105 -1.541123  2.353228 2.35
