#Step   Etot   PotE Ktot  T
144 2.641400 -0.859187  3.500587 3.50
145 2.641403 -0.869449  3.510851 3.51
146 2.641390 -0.882306  3.523696 3.52
147 2.641362 -0.897403  3.538765 3.54
148 2.641314 -0.914161  3.555474 3.56
149 2.641240 -0.931701  3.572941 3.57
150 2.641146 -0.948794  3.589940 3.59
151 2.641049 -0.963931  3.604980 3.60
152 2.640977 -0.975600  3.616577 3.62
153 2.640950 -0.982673  3.623623 3.62
154 2.640973 -0.984717  3.625689 3.63
155 2.641026 -0.982051  3.623077 3.62
156 2.641080 -0.975494  3.616574 3.62
157 2.641106 -0.965935  3.607041 3.61
158 2.641095 -0.953950  3.595045 3.60
159 2.641055 -0.939650  3.580706 3.58
160 2.641002 -0.922790  3.563792 3.56
161 2.562721 -0.903467  3.466188 3.47
162 2.562660 -0.881363  3.444022 3.44
163 2.562594 -0.856049  3.418644 3.42
164 2.562547 -0.827117  3.389664 3.39
165 2.562560 -0.794503  3.357063 3.36
166 2.562683 -0.759113  3.321796 3.32
167 2.562936 -0.723474  3.286410 3.29
168 2.563288 -0.691982  3.255270 3.26
169 2.563654 -0.670388  3.234042 3.23
170 2.563918 -0.664492  3.228409 3.23
171 2.563972 -0.678385  3.242357 3.24
172 2.563767 -0.712874  3.276641 3.28
173 2.563340 -0.764760  3.328100 3.33
174 2.562801 -0.827383  3.390184 3.39
175 2.562290 -0.892274  3.454564 3.45
176 2.561924 -0.951256  3.513180 3.51
177 2.561770 -0.998262  3.560032 3.56
178 2.561830 -1.030371  3.592201 3.59
179 2.562046 -1.047902  3.609949 3.61
180 2.562319 -1.053595  3.615914 3.62
181 2.432181 -1.051662  3.483843 3.48
182 2.432271 -1.045642  3.477913 3.48
183 2.432241 -1.036868  3.469110 3.47
184 2.432144 -1.025037  3.457181 3.46
185 2.432040 -1.008930  3.440970 3.44
186 2.431972 -0.987310  3.419281 3.42
187 2.431959 -0.959564  3.391523 3.39
188 2.432019 -0.926052  3.358070 3.36
189 2.432173 -0.888349  3.320521 3.32
190 2.432447 -0.849548  3.281994 3.28
191 2.432839 -0.814529  3.247368 3.25
192 2.433284 -0.789783  3.223067 3.22
193 2.433645 -0.782302  3.215947 3.22
194 2.433768 -0.797489  3.231257 3.23
195 2.433587 -0.836946  3.270533 3.27
196 2.433170 -0.897514  3.330684 3.33
197 2.432674 -0.972283  3.404957 3.40
198 2.432243 -1.052875  3.485118 3.49
199 2.431955 -1.131660  3.563615 3.56
200 2.431822 -1.203054  3.634876 3.63
201 2.282499 -1.263050  3.545550 3.55
202 2.282576 -1.312405  3.594981 3.59
203 2.282702 -1.351394  3.634096 3.63
204 2.282840 -1.381222  3.664063 3.66
205 2.282953 -1.403425  3.686378 3.69
206 2.283012 -1.419303  3.702315 3.70
207 2.283011 -1.429509  3.712520 3.71
208 2.282966 -1.433923  3.716890 3.72
209 2.282914 -1.431881  3.714795 3.71
210 2.282896 -1.422682  3.705578 3.71
211 2.282942 -1.406178  3.689121 3.69
212 2.283063 -1.383208  3.666271 3.67
213 2.283238 -1.355708  3.638946 3.64
214 2.283428 -1.326423  3.609851 3.61
215 2.283582 -1.298298  3.581879 3.58
216 2.283657 -1.273723  3.557380 3.56
217 2.283636 -1.253925  3.537561 3.54
218 2.283528 -1.238706  3.522234 3.52
219 2.283360 -1.226584  3.509944 3.51
220 2.283160 -1.215194  3.498354 3.50
221 2.270163 -1.201810  3.471973 3.47
222 2.269958 -1.183615  3.453573 3.45
223 2.269772 -1.158014  3.427786 3.43
224 2.269632 -1.122927  3.392558 3.39
225 2.269584 -1.077236  3.346820 3.35
226 2.269697 -1.021497  3.291195 3.29
227 2.270029 -0.958865  3.228894 3.23
228 2.270564 -0.895766  3.166330 3.17
229 2.271148 -0.841420  3.112568 3.11
230 2.271521 -0.805380  3.076900 3.08
231 2.271494 -0.793717  3.065211 3.07
232 2.271113 -0.806334  3.077447 3.08
233 2.270610 -0.837588  3.108198 3.11
234 2.270198 -0.879546  3.149744 3.15
235 2.269958 -0.925175  3.195133 3.20
236 2.269860 -0.969742  3.239601 3.24
237 2.269836 -1.010583  3.280419 3.28
238 2.269829 -1.046244  3.316073 3.32
239 2.269809 -1.075682  3.345491 3.35
240 2.269772 -1.097828  3.367600 3.37
241 2.387703 -1.111351  3.499053 3.50
242 2.387692 -1.114451  3.502143 3.50
243 2.387733 -1.106673  3.494406 3.49
