#Step   Etot   PotE Ktot  T
144 0.817997 -1.563714  2.381711 2.38
145 0.817893 -1.576005  2.393898 2.39
146 0.817811 -1.585152  2.402963 2.40
147 0.817755 -1.590000  2.407755 2.41
148 0.817721 -1.589816  2.407537 2.41
149 0.817708 -1.584249  2.401956 2.40
150 0.817726 -1.573331  2.391058 2.39
151 0.817797 -1.557642  2.375439 2.38
152 0.817929 -1.538556  2.356485 2.36
153 0.818103 -1.518329  2.336432 2.34
154 0.818262 -1.499738  2.318000 2.32
155 0.818346 -1.485251  2.303597 2.30
156 0.818330 -1.476152  2.294482 2.29
157 0.818246 -1.472195  2.290441 2.29
158 0.818152 -1.472030  2.290182 2.29
159 0.818096 -1.474056  2.292152 2.29
160 0.818089 -1.477121  2.295210 2.30
161 0.818116 -1.480753  2.298869 2.30
162 0.818148 -1.484965  2.303114 2.30
163 0.818165 -1.489889  2.308054 2.31
164 0.818156 -1.495463  2.313618 2.31
165 0.818124 -1.501296  2.319421 2.32
166 0.818083 -1.506718  2.324800 2.32
167 0.818045 -1.510941  2.328985 2.33
168 0.818023 -1.513270  2.331294 2.33
169 0.818024 -1.513277  2.331302 2.33
170 0.818049 -1.510895  2.328944 2.33
171 0.818092 -1.506432  2.324523 2.32
172 0.818141 -1.500479  2.318621 2.32
173 0.818184 -1.493752  2.311936 2.31
174 0.818206 -1.486868  2.305074 2.31
175 0.818199 -1.480153  2.298352 2.30
176 0.818166 -1.473531  2.291697 2.29
177 0.818118 -1.466561  2.284679 2.28
178 0.818070 -1.458594  2.276664 2.28
179 0.818034 -1.448992  2.267026 2.27
180 0.818019 -1.437329  2.255348 2.26
181 0.818030 -1.423531  2.241561 2.24
182 0.818073 -1.407963  2.226036 2.23
183 0.818153 -1.391507  2.209660 2.21
184 0.818272 -1.375621  2.193893 2.19
185 0.818422 -1.362355  2.180777 2.18
186 0.818576 -1.354172  2.172748 2.17
187 0.818685 -1.353499  2.172184 2.17
188 0.818704 -1.362010  2.180714 2.18
189 0.818613 -1.379951  2.198564 2.20
190 0.818435 -1.405858  2.224293 2.22
191 0.818224 -1.436890  2.255114 2.26
192 0.818037 -1.469622  2.287659 2.29
193 0.817910 -1.500894  2.318804 2.32
194 0.817852 -1.528389  2.346241 2.35
195 0.817852 -1.550817  2.368669 2.37
196 0.817891 -1.567793  2.385684 2.39
197 0.817950 -1.579577  2.397527 2.40
198 0.818014 -1.586796  2.404810 2.40
199 0.818074 -1.590231  2.408305 2.41
200 0.818127 -1.590678  2.408805 2.41
201 0.818170 -1.588870  2.407040 2.41
202 0.818204 -1.585443  2.403647 2.40
203 0.818227 -1.580913  2.399140 2.40
204 0.818240 -1.575668  2.393909 2.39
205 0.818244 -1.569965  2.388210 2.39
206 0.818241 -1.563938  2.382179 2.38
207 0.818236 -1.557626  2.375862 2.38
208 0.818235 -1.551048  2.369284 2.37
209 0.818251 -1.544310  2.362561 2.36
210 0.818291 -1.537752  2.356043 2.36
211 0.818360 -1.532075  2.350435 2.35
212 0.818451 -1.528373  2.346823 2.35
213 0.818545 -1.528023  2.346567 2.35
214 0.818616 -1.532409  2.351025 2.35
215 0.818642 -1.542547  2.361188 2.36
216 0.818609 -1.558742  2.377351 2.38
217 0.818521 -1.580410  2.398931 2.40
218 0.818395 -1.606126  2.424521 2.42
219 0.818255 -1.633879  2.452134 2.45
220 0.818123 -1.661429  2.479551 2.48
221 0.818015 -1.686643  2.504657 2.50
222 0.817940 -1.707749  2.525689 2.53
223 0.817902 -1.723489  2.541391 2.54
224 0.817901 -1.733181  2.551082 2.55
225 0.817934 -1.736734  2.554669 2.55
226 0.817997 -1.734613  2.552610 2.55
227 0.818080 -1.727753  2.545833 2.55
228 0.818168 -1.717414  2.535582 2.54
229 0.818241 -1.704943  2.523184 2.52
230 0.818283 -1.691493  2.509776 2.51
231 0.818280 -1.677752  2.496032 2.50
232 0.818234 -1.663773  2.482007 2.48
233 0.818156 -1.648981  2.467137 2.47
234 0.818065 -1.632346  2.450411 2.45
235 0.817981 -1.612659  2.430640 2.43
236 0.817919 -1.588836  2.406755 2.41
237 0.817893 -1.560167  2.378060 2.38
238 0.817911 -1.526503  2.344414 2.34
239 0.817977 -1.488389  2.306366 2.31
240 0.818090 -1.447113  2.265203 2.27
241 0.818238 -1.404671  2.222908 2.22
242 0.818397 -1.363559  2.181956 2.18
243 0.818535 -1.326404  2.144939 2.14
244 0.818616 -1.295444  2.114060 2.11
245 0.818616 -1.272010  2.090627 2.09
246 0.818536 -1.256181  2.074716 2.07
247 0.818399 -1.246776  2.065175 2.07
248 0.818252 -1.241749  2.060001 2.06
249 0.818140 -1.238856  2.056997 2.06
250 0.818100 -1.236368  2.054468 2.05
251 0.818145 -1.233610  2.051754 2.05
252 0.818264 -1.231173  2.049437 2.05
253 0.818427 -1.230772  2.049198 2.05
254 0.818588 -1.234767  2.053355 2.05
255 0.818701 -1.245497  2.064197 2.06
256 0.818733 -1.264576  2.083309 2.08
257 0.818677 -1.292411  2.111089 2.11
258 0.818553 -1.328074  2.146626 2.15
259 0.818394 -1.369566  2.187960 2.19
260 0.818238 -1.414330  2.232567 2.23
261 0.818111 -1.459791  2.277901 2.28
262 0.818025 -1.503768  2.321793 2.32
263 0.817978 -1.544670  2.362648 2.36
264 0.817962 -1.581500  2.399462 2.40
265 0.817966 -1.613742  2.431708 2.43
266 0.817977 -1.641208  2.459185 2.46
267 0.817990 -1.663884  2.481874 2.48
268 0.817999 -1.681823  2.499821 2.50
269 0.818001 -1.695072  2.513073 2.51
270 0.817996 -1.703635  2.521631 2.52
271 0.817986 -1.707463  2.525449 2.53
272 0.817977 -1.706485  2.524462 2.52
273 0.817977 -1.700687  2.518664 2.52
274 0.817998 -1.690239  2.508237 2.51
275 0.818052 -1.675661  2.493713 2.49
276 0.818144 -1.657973  2.476117 2.48
277 0.818268 -1.638749  2.457016 2.46
278 0.818400 -1.619993  2.438393 2.44
279 0.818511 -1.603807  2.422318 2.42
280 0.818571 -1.591920  2.410491 2.41
281 0.818566 -1.585271  2.403837 2.40
282 0.818503 -1.583803  2.402306 2.40
283 0.818401 -1.586565  2.404966 2.40
284 0.818284 -1.592003  2.410287 2.41
285 0.818169 -1.598306  2.416475 2.42
286 0.818063 -1.603674  2.421737 2.42
287 0.817971 -1.606478  2.424449 2.42
288 0.817896 -1.605346  2.423242 2.42
289 0.817842 -1.599224  2.417066 2.42
290 0.817816 -1.587453  2.405269 2.41
291 0.817833 -1.569896  2.387729 2.39
292 0.817903 -1.547114  2.365017 2.37
293 0.818036 -1.520533  2.338569 2.34
294 0.818221 -1.492513  2.310734 2.31
295 0.818423 -1.466146  2.284570 2.28
296 0.818589 -1.444707  2.263295 2.26
297 0.818669 -1.430837  2.249506 2.25
298 0.818648 -1.425839  2.244487 2.24
299 0.818550 -1.429437  2.247987 2.25
300 0.818418 -1.440110  2.258528 2.26
301 0.818290 -1.455737  2.274027 2.27
302 0.818186 -1.474176  2.292362 2.29
303 0.818107 -1.493584  2.311691 2.31
304 0.818047 -1.512483  2.330530 2.33
305 0.817998 -1.529700  2.347698 2.35
306 0.817953 -1.544265  2.362218 2.36
307 0.817908 -1.555322  2.373230 2.37
308 0.817863 -1.562079  2.379942 2.38
309 0.817824 -1.563815  2.381639 2.38
310 0.817798 -1.559948  2.377746 2.38
311 0.817797 -1.550163  2.367960 2.37
312 0.817828 -1.534554  2.352382 2.35
313 0.817897 -1.513743  2.331640 2.33
314 0.817998 -1.488924  2.306922 2.31
315 0.818119 -1.461780  2.279899 2.28
316 0.818240 -1.434275  2.252515 2.25
317 0.818338 -1.408345  2.226682 2.23
318 0.818392 -1.385544  2.203936 2.20
319 0.818393 -1.366754  2.185147 2.19
320 0.818344 -1.352029  2.170373 2.17
321 0.818259 -1.340644  2.158903 2.16
322 0.818159 -1.331310  2.149469 2.15
323 0.818063 -1.322484  2.140547 2.14
324 0.817989 -1.312688  2.130678 2.13
325 0.817947 -1.300769  2.118716 2.12
326 0.817944 -1.286078  2.104022 2.10
327 0.817985 -1.268592  2.086577 2.09
328 0.818070 -1.248980  2.067050 2.07
329 0.818195 -1.228603  2.046798 2.05
330 0.818347 -1.209434  2.027781 2.03
331 0.818503 -1.193836  2.012339 2.01
332 0.818632 -1.184203  2.002835 2.00
333 0.818706 -1.182491  2.001197 2.00
334 0.818706 -1.189787  2.008494 2.01
335 0.818634 -1.206040  2.024675 2.02
336 0.818510 -1.230074  2.048583 2.05
337 0.818360 -1.259869  2.078229 2.08
338 0.818213 -1.292984  2.111197 2.11
339 0.818085 -1.326959  2.145043 2.15
340 0.817982 -1.359593  2.177576 2.18
341 0.817904 -1.389073  2.206977 2.21
342 0.817845 -1.413978  2.231822 2.23
343 0.817799 -1.433228  2.251027 2.25
344 0.817761 -1.446012  2.263774 2.26
345 0.817729 -1.451724  2.269453 2.27
346 0.817702 -1.449920  2.267622 2.27
347 0.817684 -1.440334  2.258018 2.26
348 0.817684 -1.422934  2.240618 2.24
349 0.817713 -1.398041  2.215754 2.22
350 0.817777 -1.366470  2.184248 2.18
351 0.817875 -1.329615  2.147491 2.15
352 0.817992 -1.289389  2.107381 2.11
353 0.818105 -1.247986  2.066091 2.07
354 0.818205 -1.207562  2.025767 2.03
355 0.818299 -1.170059  1.988358 1.99
356 0.818411 -1.137306  1.955716 1.96
357 0.818550 -1.111306  1.929856 1.93
358 0.818699 -1.094359  1.913058 1.91
359 0.818809 -1.088761  1.907569 1.91
360 0.818830 -1.096112  1.914943 1.91
361 0.818739 -1.116605  1.935344 1.94
362 0.818548 -1.148665  1.967213 1.97
363 0.818301 -1.189155  2.007456 2.01
364 0.818052 -1.234026  2.052077 2.05
365 0.817844 -1.279122  2.096966 2.10
366 0.817705 -1.320875  2.138580 2.14
367 0.817640 -1.356738  2.174378 2.17
368 0.817644 -1.385324  2.202968 2.20
369 0.817700 -1.406334  2.224034 2.22
370 0.817793 -1.420345  2.238138 2.24
371 0.817907 -1.428574  2.246482 2.25
372 0.818031 -1.432641  2.250672 2.25
373 0.818155 -1.434371  2.252526 2.25
374 0.818269 -1.435622  2.253891 2.25
375 0.818363 -1.438114  2.256477 2.26
376 0.818427 -1.443253  2.261680 2.26
377 0.818454 -1.451971  2.270425 2.27
378 0.818445 -1.464619  2.283064 2.28
379 0.818407 -1.480970  2.299377 2.30
380 0.818353 -1.500327  2.318679 2.32
381 0.818293 -1.521705  2.339998 2.34
382 0.818235 -1.544007  2.362242 2.36
383 0.818181 -1.566134  2.384315 2.38
384 0.818130 -1.587040  2.405169 2.41
385 0.818083 -1.605745  2.423828 2.42
386 0.818043 -1.621363  2.439406 2.44
387 0.818013 -1.633146  2.451159 2.45
388 0.817996 -1.640535  2.458531 2.46
389 0.817995 -1.643219  2.461215 2.46
390 0.818013 -1.641180  2.459193 2.46
391 0.818051 -1.634726  2.452777 2.45
392 0.818109 -1.624507  2.442616 2.44
393 0.818182 -1.611498  2.429680 2.43
394 0.818262 -1.596930  2.415192 2.42
395 0.818337 -1.582154  2.400491 2.40
396 0.818394 -1.568455  2.386849 2.39
397 0.818421 -1.556839  2.375261 2.38
398 0.818414 -1.547865  2.366279 2.37
399 0.818376 -1.541575  2.359951 2.36
400 0.818316 -1.537537  2.355853 2.36
401 0.818246 -1.534981  2.353227 2.35
402 0.818179 -1.532976  2.351155 2.35
403 0.818127 -1.530625  2.348753 2.35
404 0.818104 -1.527266  2.345370 2.35
405 0.818119 -1.522659  2.340778 2.34
406 0.818172 -1.517117  2.335289 2.34
407 0.818254 -1.511510  2.329764 2.33
408 0.818346 -1.507115  2.325461 2.33
409 0.818419 -1.505303  2.323723 2.32
410 0.818452 -1.507140  2.325592 2.33
411 0.818432 -1.513038  2.331470 2.33
412 0.818367 -1.522594  2.340961 2.34
413 0.818279 -1.534701  2.352979 2.35
414 0.818193 -1.547866  2.366059 2.37
415 0.818129 -1.560602  2.378731 2.38
416 0.818091 -1.571715  2.389807 2.39
417 0.818076 -1.580416  2.398493 2.40
418 0.818074 -1.586273  2.404347 2.40
419 0.818074 -1.589083  2.407157 2.41
420 0.818071 -1.588740  2.406812 2.41
421 0.818066 -1.585166  2.403232 2.40
422 0.818062 -1.578297  2.396359 2.40
423 0.818065 -1.568146  2.386211 2.39
424 0.818082 -1.554881  2.372963 2.37
425 0.818117 -1.538912  2.357029 2.36
426 0.818169 -1.520938  2.339107 2.34
427 0.818231 -1.501922  2.320153 2.32
428 0.818293 -1.482984  2.301276 2.30
429 0.818342 -1.465225  2.283567 2.28
430 0.818374 -1.449562  2.267936 2.27
431 0.818392 -1.436637  2.255029 2.26
432 0.818408 -1.426867  2.245275 2.25
433 0.818433 -1.420599  2.239032 2.24
434 0.818465 -1.418248  2.236713 2.24
435 0.818491 -1.420280  2.238771 2.24
436 0.818490 -1.427010  2.245500 2.25
437 0.818447 -1.438310  2.256756 2.26
438 0.818362 -1.453406  2.271768 2.27
439 0.818251 -1.470903  2.289154 2.29
440 0.818133 -1.489005  2.307139 2.31
441 0.818027 -1.505825  2.323852 2.32
442 0.817940 -1.519653  2.337593 2.34
443 0.817876 -1.529109  2.346986 2.35
444 0.817834 -1.533210  2.351044 2.35
445 0.817813 -1.531362  2.349175 2.35
446 0.817812 -1.523357  2.341169 2.34
447 0.817834 -1.509369  2.327203 2.33
448 0.817885 -1.489999  2.307885 2.31
449 0.817972 -1.466343  2.284315 2.28
450 0.818099 -1.440071  2.258170 2.26
451 0.818259 -1.413462  2.231720 2.23
452 0.818428 -1.389258  2.207686 2.21
453 0.818560 -1.370257  2.188817 2.19
454 0.818604 -1.358603  2.177206 2.18
455 0.818530 -1.355032  2.173562 2.17
456 0.818358 -1.358478  2.176836 2.18
457 0.818145 -1.366339  2.184484 2.18
458 0.817957 -1.375324  2.193280 2.19
459 0.817842 -1.382451  2.200293 2.20
460 0.817819 -1.385793  2.203612 2.20
461 0.817880 -1.384780  2.202660 2.20
462 0.818005 -1.380128  2.198133 2.20
463 0.818165 -1.373544  2.191709 2.19
464 0.818334 -1.367311  2.185645 2.19
465 0.818483 -1.363852  2.182334 2.18
466 0.818591 -1.365309  2.183900 2.18
467 0.818645 -1.373213  2.191859 2.19
468 0.818645 -1.388281  2.206925 2.21
469 0.818597 -1.410372  2.228969 2.23
470 0.818517 -1.438616  2.257134 2.26
471 0.818425 -1.471635  2.290060 2.29
472 0.818336 -1.507821  2.326157 2.33
473 0.818263 -1.545589  2.363853 2.36
474 0.818211 -1.583563  2.401775 2.40
475 0.818180 -1.620665  2.438845 2.44
476 0.818166 -1.656126  2.474292 2.47
477 0.818162 -1.689439  2.507601 2.51
478 0.818163 -1.720268  2.538431 2.54
479 0.818164 -1.748374  2.566538 2.57
480 0.818164 -1.773550  2.591714 2.59
481 0.818161 -1.795592  2.613754 2.61
482 0.818159 -1.814299  2.632457 2.63
483 0.818157 -1.829488  2.647645 2.65
484 0.818159 -1.841024  2.659182 2.66
485 0.818164 -1.848839  2.667003 2.67
486 0.818173 -1.852947  2.671121 2.67
487 0.818185 -1.853442  2.671628 2.67
488 0.818199 -1.850487  2.668686 2.67
489 0.818214 -1.844295  2.662508 2.66
490 0.818227 -1.835107  2.653333 2.65
491 0.818238 -1.823170  2.641408 2.64
492 0.818246 -1.808722  2.626968 2.63
493 0.818251 -1.791982  2.610233 2.61
494 0.818255 -1.773148  2.591403 2.59
495 0.818256 -1.752407  2.570664 2.57
496 0.818258 -1.729943  2.548201 2.55
497 0.818259 -1.705951  2.524211 2.52
498 0.818262 -1.680645  2.498907 2.50
499 0.818266 -1.654268  2.472533 2.47
500 0.818272 -1.627100  2.445372 2.45
501 0.818284 -1.599473  2.417757 2.42
502 0.818303 -1.571800  2.390103 2.39
503 0.818331 -1.544607  2.362938 2.36
504 0.818371 -1.518564  2.336935 2.34
505 0.818419 -1.494494  2.312913 2.31
506 0.818469 -1.473328  2.291797 2.29
507 0.818512 -1.456004  2.274515 2.27
508 0.818536 -1.443321  2.261857 2.26
509 0.818535 -1.435787  2.254322 2.25
510 0.818507 -1.433515  2.252022 2.25
511 0.818460 -1.436202  2.254662 2.25
512 0.818406 -1.443234  2.261640 2.26
513 0.818357 -1.453856  2.272213 2.27
514 0.818320 -1.467356  2.285676 2.29
515 0.818296 -1.483169  2.301465 2.30
516 0.818275 -1.500872  2.319147 2.32
517 0.818250 -1.520071  2.338320 2.34
518 0.818215 -1.540282  2.358496 2.36
519 0.818176 -1.560884  2.379060 2.38
520 0.818144 -1.581196  2.399340 2.40
521 0.818128 -1.600625  2.418753 2.42
522 0.818129 -1.618794  2.436923 2.44
523 0.818138 -1.635563  2.453701 2.45
524 0.818145 -1.650914  2.469058 2.47
525 0.818140 -1.664794  2.482934 2.48
526 0.818125 -1.677003  2.495128 2.50
527 0.818105 -1.687197  2.505303 2.51
528 0.818091 -1.694995  2.513087 2.51
529 0.818086 -1.700104  2.518191 2.52
530 0.818088 -1.702384  2.520472 2.52
531 0.818089 -1.701816  2.519905 2.52
532 0.818081 -1.698406  2.516487 2.52
533 0.818060 -1.692067  2.510127 2.51
534 0.818028 -1.682562  2.500590 2.50
535 0.817992 -1.669531  2.487523 2.49
536 0.817965 -1.652607  2.470573 2.47
537 0.817961 -1.631603  2.449564 2.45
538 0.817987 -1.606689  2.424676 2.42
539 0.818048 -1.578531  2.396579 2.40
540 0.818139 -1.548328  2.366467 2.37
541 0.818249 -1.517735  2.335984 2.34
542 0.818361 -1.488682  2.307043 2.31
543 0.818457 -1.463116  2.281573 2.28
544 0.818522 -1.442726  2.261248 2.26
545 0.818548 -1.428705  2.247253 2.25
546 0.818528 -1.421588  2.240116 2.24
547 0.818465 -1.421175  2.239640 2.24
548 0.818366 -1.426546  2.244912 2.24
549 0.818243 -1.436174  2.254417 2.25
550 0.818113 -1.448112  2.266226 2.27
551 0.817996 -1.460268  2.278264 2.28
552 0.817909 -1.470701  2.288610 2.29
553 0.817864 -1.477909  2.295773 2.30
554 0.817865 -1.481018  2.298884 2.30
555 0.817907 -1.479859  2.297767 2.30
556 0.817978 -1.474890  2.292867 2.29
557 0.818061 -1.467026  2.285087 2.29
558 0.818142 -1.457418  2.275560 2.28
559 0.818210 -1.447224  2.265434 2.27
560 0.818259 -1.437445  2.255704 2.26
561 0.818291 -1.428839  2.247130 2.25
562 0.818312 -1.421926  2.240238 2.24
563 0.818332 -1.417080  2.235413 2.24
564 0.818357 -1.414641  2.232998 2.23
565 0.818386 -1.414995  2.233381 2.23
566 0.818414 -1.418572  2.236986 2.24
567 0.818433 -1.425756  2.244189 2.24
568 0.818437 -1.436766  2.255203 2.26
569 0.818424 -1.451564  2.269988 2.27
570 0.818397 -1.469838  2.288235 2.29
571 0.818361 -1.491052  2.309413 2.31
572 0.818316 -1.514494  2.332811 2.33
573 0.818261 -1.539308  2.357570 2.36
574 0.818195 -1.564480  2.382676 2.38
575 0.818119 -1.588839  2.406958 2.41
576 0.818037 -1.611083  2.429120 2.43
577 0.817955 -1.629849  2.447804 2.45
578 0.817878 -1.643810  2.461688 2.46
579 0.817813 -1.651772  2.469585 2.47
580 0.817766 -1.652774  2.470540 2.47
581 0.817745 -1.646197  2.463942 2.46
582 0.817762 -1.631890  2.449652 2.45
583 0.817828 -1.610336  2.428164 2.43
584 0.817951 -1.582800  2.400751 2.40
585 0.818128 -1.551421  2.369548 2.37
586 0.818339 -1.519131  2.337470 2.34
587 0.818552 -1.489351  2.307903 2.31
588 0.818722 -1.465454  2.284176 2.28
589 0.818818 -1.450132  2.268949 2.27
590 0.818826 -1.444901  2.263727 2.26
591 0.818758 -1.449923  2.268681 2.27
592 0.818641 -1.464158  2.282799 2.28
593 0.818503 -1.485758  2.304261 2.30
594 0.818365 -1.512482  2.330847 2.33
595 0.818238 -1.542035  2.360273 2.36
596 0.818125 -1.572251  2.390376 2.39
597 0.818024 -1.601162  2.419186 2.42
598 0.817934 -1.627000  2.444935 2.44
599 0.817860 -1.648214  2.466074 2.47
600 0.817812 -1.663547  2.481359 2.48
601 0.817801 -1.672201  2.490002 2.49
602 0.817842 -1.674027  2.491869 2.49
603 0.817935 -1.669706  2.487641 2.49
604 0.818069 -1.660761  2.478831 2.48
605 0.818212 -1.649344  2.467555 2.47
606 0.818320 -1.637732  2.456052 2.46
607 0.818362 -1.627705  2.446067 2.45
608 0.818331 -1.620056  2.438386 2.44
609 0.818249 -1.614486  2.432735 2.43
610 0.818151 -1.609916  2.428066 2.43
611 0.818064 -1.604982  2.423046 2.42
612 0.818004 -1.598467  2.416471 2.42
613 0.817971 -1.589524  2.407495 2.41
614 0.817963 -1.577730  2.395693 2.40
