#Step   Etot   PotE Ktot  T
144 4.177105 -0.423012  4.600117 4.60
145 4.166577 -0.446090  4.612668 4.61
146 4.154671 -0.469797  4.624468 4.62
147 4.141297 -0.493654  4.634951 4.63
148 4.126422 -0.515922  4.642344 4.64
149 4.110121 -0.533426  4.643546 4.64
150 4.092541 -0.542687  4.635228 4.64
151 4.073833 -0.541788  4.615622 4.62
152 4.054093 -0.531821  4.585915 4.59
153 4.033338 -0.517126  4.550464 4.55
154 4.011502 -0.504114  4.515616 4.52
155 3.988467 -0.498983  4.487450 4.49
156 3.964143 -0.505175  4.469318 4.47
157 3.938541 -0.521887  4.460428 4.46
158 3.911762 -0.544540  4.456302 4.46
159 3.883933 -0.566770  4.450703 4.45
160 3.855165 -0.582659  4.437824 4.44
161 3.825558 -0.588215  4.413772 4.41
162 3.795218 -0.581970  4.377189 4.38
163 3.764271 -0.564990  4.329261 4.33
164 3.732839 -0.540587  4.273426 4.27
165 3.701021 -0.513837  4.214859 4.21
166 3.668858 -0.490846  4.159704 4.16
167 3.636310 -0.477664  4.113974 4.11
168 3.603280 -0.478889  4.082169 4.08
169 3.569659 -0.496385  4.066045 4.07
170 3.535364 -0.528710  4.064075 4.06
171 3.500350 -0.571481  4.071831 4.07
172 3.464616 -0.618468  4.083084 4.08
173 3.428209 -0.663017  4.091226 4.09
174 3.391221 -0.699464  4.090684 4.09
175 3.353767 -0.724265  4.078032 4.08
176 3.315962 -0.736555  4.052517 4.05
177 3.277895 -0.737933  4.015828 4.02
178 3.239635 -0.731553  3.971188 3.97
179 3.201244 -0.720890  3.922134 3.92
180 3.162808 -0.708762  3.871570 3.87
181 3.124436 -0.697058  3.821494 3.82
182 3.086252 -0.687241  3.773492 3.77
183 3.048348 -0.681304  3.729651 3.73
184 3.010734 -0.682559  3.693294 3.69
185 2.973285 -0.695559  3.668844 3.67
186 2.935741 -0.724683  3.660425 3.66
187 2.897816 -0.771789  3.669605 3.67
188 2.859332 -0.834394  3.693725 3.69
189 2.820265 -0.905930  3.726195 3.73
190 2.780674 -0.978003  3.758677 3.76
191 2.740625 -1.043043  3.783668 3.78
192 2.700173 -1.095881  3.796055 3.80
193 2.659396 -1.133971  3.793367 3.79
194 2.618409 -1.156838  3.775246 3.78
195 2.577367 -1.165404  3.742771 3.74
196 2.536450 -1.161517  3.697967 3.70
197 2.495835 -1.147716  3.643551 3.64
198 2.455670 -1.127091  3.582761 3.58
199 2.416065 -1.103063  3.519128 3.52
200 2.377078 -1.079010  3.456088 3.46
201 2.338732 -1.057776  3.396509 3.40
202 2.301032 -1.041280  3.342311 3.34
203 2.263973 -1.030386  3.294359 3.29
204 2.227553 -1.025109  3.252662 3.25
205 2.191758 -1.025015  3.216773 3.22
206 2.156565 -1.029618  3.186183 3.19
207 2.121935 -1.038602  3.160536 3.16
208 2.087819 -1.051827  3.139645 3.14
209 2.054164 -1.069186  3.123350 3.12
210 2.020919 -1.090416  3.111336 3.11
211 1.988039 -1.114933  3.102972 3.10
212 1.955489 -1.141751  3.097240 3.10
213 1.923250 -1.169489  3.092739 3.09
214 1.891322 -1.196465  3.087787 3.09
215 1.859728 -1.220871  3.080599 3.08
216 1.828509 -1.240996  3.069505 3.07
217 1.797720 -1.255436  3.053156 3.05
218 1.767425 -1.263217  3.030642 3.03
219 1.737692 -1.263809  3.001501 3.00
220 1.708604 -1.257062  2.965667 2.97
221 1.680253 -1.243203  2.923456 2.92
222 1.652733 -1.222932  2.875665 2.88
223 1.626118 -1.197553  2.823671 2.82
224 1.600448 -1.168924  2.769372 2.77
225 1.575735 -1.139140  2.714874 2.71
226 1.551983 -1.110095  2.662078 2.66
227 1.529204 -1.083262  2.612466 2.61
228 1.507412 -1.059841  2.567253 2.57
229 1.486600 -1.041160  2.527760 2.53
230 1.466720 -1.028944  2.495664 2.50
231 1.447687 -1.025225  2.472912 2.47
232 1.429388 -1.031897  2.461286 2.46
233 1.411707 -1.050123  2.461830 2.46
234 1.394539 -1.079858  2.474397 2.47
235 1.377810 -1.119688  2.497498 2.50
236 1.361472 -1.167010  2.528482 2.53
237 1.345502 -1.218464  2.563967 2.56
238 1.329895 -1.270459  2.600354 2.60
239 1.314661 -1.319638  2.634300 2.63
240 1.299821 -1.363250  2.663071 2.66
241 1.285404 -1.399375  2.684779 2.68
242 1.271445 -1.427051  2.698495 2.70
243 1.257976 -1.446279  2.704255 2.70
244 1.245021 -1.457925  2.702945 2.70
245 1.232591 -1.463466  2.696057 2.70
246 1.220687 -1.464620  2.685307 2.69
247 1.209304 -1.462903  2.672207 2.67
248 1.198448 -1.459255  2.657703 2.66
249 1.188140 -1.453914  2.642054 2.64
250 1.178419 -1.446582  2.625001 2.63
251 1.169328 -1.436842  2.606170 2.61
252 1.160907 -1.424651  2.585558 2.59
253 1.153177 -1.410744  2.563920 2.56
254 1.146128 -1.396751  2.542879 2.54
255 1.139710 -1.384888  2.524599 2.52
256 1.133856 -1.377192  2.511049 2.51
257 1.128515 -1.374588  2.503103 2.50
258 1.123687 -1.376318  2.500005 2.50
259 1.119423 -1.380137  2.499560 2.50
260 1.115787 -1.383185  2.498972 2.50
261 1.112815 -1.382973  2.495788 2.50
262 1.110509 -1.377957  2.488466 2.49
263 1.108850 -1.367560  2.476410 2.48
264 1.107823 -1.351855  2.459678 2.46
265 1.107430 -1.331280  2.438710 2.44
266 1.107693 -1.306591  2.414284 2.41
267 1.108636 -1.279072  2.387709 2.39
268 1.110273 -1.250824  2.361097 2.36
269 1.112589 -1.224863  2.337452 2.34
270 1.115546 -1.204867  2.320413 2.32
271 1.119089 -1.194522  2.313611 2.31
272 1.123175 -1.196622  2.319797 2.32
273 1.127800 -1.212259  2.340059 2.34
274 1.133006 -1.240468  2.373473 2.37
275 1.138871 -1.278491  2.417362 2.42
276 1.145480 -1.322550  2.468030 2.47
277 1.152890 -1.368758  2.521648 2.52
278 1.161122 -1.413829  2.574952 2.57
279 1.170166 -1.455428  2.625594 2.63
280 1.179984 -1.492183  2.672167 2.67
281 1.190530 -1.523492  2.714021 2.71
282 1.201756 -1.549247  2.751003 2.75
283 1.213619 -1.569579  2.783199 2.78
284 1.226081 -1.584666  2.810747 2.81
285 1.239111 -1.594627  2.833738 2.83
286 1.252683 -1.599511  2.852193 2.85
287 1.266775 -1.599333  2.866108 2.87
288 1.281365 -1.594165  2.875530 2.88
289 1.296432 -1.584211  2.880643 2.88
290 1.311952 -1.569864  2.881816 2.88
291 1.327899 -1.551706  2.879605 2.88
292 1.344252 -1.530460  2.874712 2.87
293 1.360995 -1.506924  2.867919 2.87
294 1.378118 -1.481916  2.860034 2.86
295 1.395622 -1.456251  2.851873 2.85
296 1.413516 -1.430778  2.844294 2.84
297 1.431818 -1.406478  2.838297 2.84
298 1.450552 -1.384614  2.835166 2.84
299 1.469721 -1.366802  2.836523 2.84
300 1.489298 -1.354717  2.844015 2.84
301 1.509239 -1.349218  2.858458 2.86
302 1.529550 -1.349199  2.878749 2.88
303 1.550323 -1.351100  2.901423 2.90
304 1.571700 -1.349812  2.921513 2.92
305 1.593788 -1.340660  2.934449 2.93
306 1.616596 -1.321386  2.937983 2.94
307 1.640041 -1.293233  2.933274 2.93
308 1.663972 -1.260807  2.924779 2.92
309 1.688217 -1.230753  2.918970 2.92
310 1.712643 -1.209542  2.922185 2.92
311 1.737241 -1.201185  2.938426 2.94
312 1.762145 -1.205981  2.968126 2.97
313 1.787576 -1.220962  3.008538 3.01
314 1.813724 -1.241572  3.055296 3.06
315 1.840688 -1.263459  3.104146 3.10
316 1.868468 -1.283565  3.152033 3.15
317 1.897003 -1.300395  3.197398 3.20
318 1.926202 -1.313734  3.239936 3.24
319 1.955968 -1.324114  3.280082 3.28
320 1.986211 -1.332198  3.318409 3.32
321 2.016858 -1.338185  3.355043 3.36
322 2.047863 -1.341420  3.389283 3.39
323 2.079196 -1.340339  3.419535 3.42
324 2.110835 -1.332773  3.443608 3.44
325 2.142743 -1.316526  3.459269 3.46
326 2.174866 -1.290009  3.464875 3.46
327 2.207130 -1.252800  3.459930 3.46
328 2.239451 -1.206021  3.445472 3.45
329 2.271744 -1.152476  3.424221 3.42
330 2.303928 -1.096475  3.400403 3.40
331 2.335933 -1.043243  3.379176 3.38
332 2.367716 -0.997899  3.365615 3.37
333 2.399287 -0.964156  3.363443 3.36
334 2.430734 -0.943240  3.373974 3.37
335 2.462217 -0.933587  3.395803 3.40
336 2.493918 -0.931534  3.425452 3.43
337 2.525982 -0.932696  3.458678 3.46
338 2.558478 -0.933394  3.491872 3.49
339 2.591406 -0.931700  3.523106 3.52
