#Step   Etot   PotE Ktot  T
144 2.557523 -0.737796  3.295319 3.30
145 2.557432 -0.735234  3.292666 3.29
146 2.557369 -0.746914  3.304283 3.30
147 2.557279 -0.771082  3.328361 3.33
148 2.557089 -0.805436  3.362524 3.36
149 2.556783 -0.846250  3.403034 3.40
150 2.556409 -0.888247  3.444657 3.44
151 2.567796 -0.925357  3.493153 3.49
152 2.567527 -0.951776  3.519302 3.52
153 2.567448 -0.963586  3.531034 3.53
154 2.567655 -0.960055  3.527710 3.53
155 2.568177 -0.944895  3.513072 3.51
156 2.568864 -0.926378  3.495241 3.50
157 2.569375 -0.914829  3.484204 3.48
158 2.569425 -0.917666  3.487091 3.49
159 2.569065 -0.935395  3.504461 3.50
160 2.568614 -0.962294  3.530908 3.53
161 2.493828 -0.990800  3.484628 3.48
162 2.493758 -1.016019  3.509777 3.51
163 2.493827 -1.035590  3.529418 3.53
164 2.493944 -1.049405  3.543348 3.54
165 2.494049 -1.058330  3.552379 3.55
166 2.494123 -1.063347  3.557469 3.56
167 2.494168 -1.065195  3.559363 3.56
168 2.494192 -1.064349  3.558541 3.56
169 2.494199 -1.061080  3.555279 3.56
170 2.494187 -1.055496  3.549683 3.55
171 2.400881 -1.047858  3.448739 3.45
172 2.400831 -1.038022  3.438853 3.44
173 2.400777 -1.025493  3.426270 3.43
174 2.400743 -1.009802  3.410545 3.41
175 2.400753 -0.990845  3.391598 3.39
176 2.400818 -0.969210  3.370028 3.37
177 2.400923 -0.946282  3.347205 3.35
178 2.401033 -0.924010  3.325043 3.33
179 2.401109 -0.904372  3.305481 3.31
180 2.401124 -0.888770  3.289894 3.29
181 2.567596 -0.876806  3.444402 3.44
182 2.567528 -0.867847  3.435375 3.44
183 2.567469 -0.860983  3.428452 3.43
184 2.567440 -0.855362  3.422802 3.42
185 2.567440 -0.850511  3.417952 3.42
186 2.567452 -0.846354  3.413806 3.41
187 2.567452 -0.842979  3.410431 3.41
188 2.567421 -0.840328  3.407749 3.41
189 2.567352 -0.837944  3.405296 3.41
190 2.567253 -0.834885  3.402138 3.40
191 2.621418 -0.829618  3.451036 3.45
192 2.621354 -0.820707  3.442061 3.44
193 2.621385 -0.807595  3.428979 3.43
194 2.621546 -0.791174  3.412719 3.41
195 2.621826 -0.774254  3.396080 3.40
196 2.622148 -0.761318  3.383466 3.38
197 2.622381 -0.757308  3.379689 3.38
198 2.622412 -0.765745  3.388158 3.39
199 2.622220 -0.787134  3.409354 3.41
200 2.621882 -0.818641  3.440523 3.44
201 2.637410 -0.855252  3.492662 3.49
202 2.637146 -0.891442  3.528588 3.53
203 2.637038 -0.923156  3.560194 3.56
204 2.637100 -0.948667  3.585767 3.59
205 2.637305 -0.968815  3.606121 3.61
