#Step   Etot   PotE Ktot  T
0 0.818309 -2.635797  3.454107 3.45
1 0.818306 -2.628909  3.447215 3.45
2 0.818294 -2.617413  3.435707 3.44
3 0.818273 -2.601177  3.419450 3.42
4 0.818244 -2.579971  3.398215 3.40
5 0.818207 -2.553479  3.371687 3.37
6 0.818165 -2.521311  3.339476 3.34
7 0.818118 -2.483024  3.301142 3.30
8 0.818069 -2.438152  3.256221 3.26
9 0.818023 -2.386246  3.204269 3.20
10 0.817985 -2.326937  3.144921 3.14
11 0.817960 -2.260014  3.077975 3.08
12 0.817959 -2.185528  3.003487 3.00
13 0.817990 -2.103907  2.921897 2.92
14 0.818060 -2.016084  2.834144 2.83
15 0.818175 -1.923595  2.741770 2.74
16 0.818331 -1.828628  2.646959 2.65
17 0.818519 -1.733969  2.552488 2.55
18 0.818720 -1.642835  2.461555 2.46
19 0.818909 -1.558577  2.377487 2.38
20 0.819062 -1.484304  2.303366 2.30
21 0.819158 -1.422505  2.241663 2.24
22 0.819190 -1.374763  2.193953 2.19
23 0.819160 -1.341622  2.160781 2.16
24 0.819079 -1.322624  2.141703 2.14
25 0.818964 -1.316487  2.135451 2.14
26 0.818833 -1.321353  2.140186 2.14
27 0.818698 -1.335055  2.153753 2.15
28 0.818572 -1.355338  2.173910 2.17
29 0.818459 -1.380040  2.198499 2.20
30 0.818364 -1.407191  2.225555 2.23
31 0.818287 -1.435090  2.253378 2.25
32 0.818229 -1.462326  2.280555 2.28
33 0.818188 -1.487787  2.305975 2.31
34 0.818162 -1.510650  2.328812 2.33
35 0.818148 -1.530357  2.348505 2.35
36 0.818143 -1.546563  2.364706 2.36
37 0.818141 -1.559086  2.377227 2.38
38 0.818138 -1.567829  2.385967 2.39
39 0.818132 -1.572724  2.390855 2.39
40 0.818124 -1.573693  2.391817 2.39
41 0.818118 -1.570665  2.388783 2.39
42 0.818120 -1.563627  2.381747 2.38
43 0.818138 -1.552718  2.370856 2.37
44 0.818175 -1.538318  2.356493 2.36
45 0.818231 -1.521103  2.339334 2.34
46 0.818300 -1.502030  2.320330 2.32
47 0.818371 -1.482244  2.300616 2.30
48 0.818433 -1.462926  2.281359 2.28
49 0.818477 -1.445116  2.263592 2.26
50 0.818497 -1.429576  2.248073 2.25
51 0.818498 -1.416732  2.235230 2.24
52 0.818487 -1.406713  2.225200 2.23
53 0.818475 -1.399463  2.217938 2.22
54 0.818469 -1.394891  2.213360 2.21
55 0.818473 -1.392982  2.211455 2.21
56 0.818482 -1.393829  2.212310 2.21
57 0.818486 -1.397567  2.216053 2.22
58 0.818473 -1.404229  2.222702 2.22
59 0.818438 -1.413577  2.232015 2.23
60 0.818379 -1.425010  2.243389 2.24
61 0.818305 -1.437566  2.255871 2.26
62 0.818228 -1.450057  2.268285 2.27
63 0.818162 -1.461254  2.279415 2.28
64 0.818115 -1.470088  2.288202 2.29
65 0.818093 -1.475807  2.293900 2.29
66 0.818100 -1.478076  2.296177 2.30
67 0.818137 -1.477036  2.295173 2.30
68 0.818201 -1.473309  2.291511 2.29
69 0.818286 -1.467968  2.286254 2.29
70 0.818376 -1.462403  2.280779 2.28
71 0.818451 -1.458090  2.276541 2.28
72 0.818488 -1.456268  2.274756 2.27
73 0.818474 -1.457604  2.276078 2.28
74 0.818412 -1.461996  2.280408 2.28
75 0.818318 -1.468607  2.286925 2.29
76 0.818217 -1.476111  2.294328 2.29
77 0.818129 -1.483051  2.301180 2.30
78 0.818064 -1.488154  2.306218 2.31
79 0.818024 -1.490503  2.308527 2.31
80 0.818004 -1.489581  2.307585 2.31
81 0.818001 -1.485227  2.303228 2.30
82 0.818017 -1.477598  2.295615 2.30
83 0.818058 -1.467190  2.285248 2.29
84 0.818134 -1.454932  2.273066 2.27
85 0.818250 -1.442302  2.260553 2.26
86 0.818401 -1.431381  2.249782 2.25
87 0.818557 -1.424700  2.243257 2.24
88 0.818677 -1.424811  2.243488 2.24
89 0.818711 -1.433621  2.252333 2.25
90 0.818633 -1.451692  2.270325 2.27
91 0.818446 -1.477827  2.296274 2.30
92 0.818192 -1.509168  2.327360 2.33
93 0.817926 -1.541785  2.359711 2.36
94 0.817697 -1.571511  2.389208 2.39
95 0.817533 -1.594690  2.412223 2.41
96 0.817445 -1.608652  2.426097 2.43
97 0.817426 -1.611890  2.429316 2.43
98 0.817465 -1.604012  2.421477 2.42
99 0.817548 -1.585592  2.403140 2.40
100 0.817663 -1.557968  2.375631 2.38
101 0.817794 -1.523033  2.340827 2.34
102 0.817929 -1.483005  2.300934 2.30
103 0.818054 -1.440209  2.258263 2.26
104 0.818162 -1.396875  2.215037 2.22
105 0.818252 -1.355000  2.173252 2.17
106 0.818330 -1.316316  2.134646 2.13
107 0.818406 -1.282356  2.100761 2.10
108 0.818487 -1.254571  2.073057 2.07
109 0.818570 -1.234413  2.052983 2.05
110 0.818641 -1.223283  2.041924 2.04
111 0.818676 -1.222303  2.040979 2.04
112 0.818649 -1.231972  2.050621 2.05
113 0.818546 -1.251813  2.070359 2.07
114 0.818369 -1.280179  2.098547 2.10
