#Step   Etot   PotE Ktot  T
0 4.333029 -2.638104  6.971133 6.97
1 4.333029 -2.638104  6.971133 6.97
2 4.333029 -2.638104  6.971133 6.97
3 4.333029 -2.638104  6.971133 6.97
4 4.333029 -2.638104  6.971133 6.97
5 4.333029 -2.638104  6.971133 6.97
6 4.333029 -2.638104  6.971133 6.97
7 4.333029 -2.638104  6.971133 6.97
8 4.333029 -2.638104  6.971133 6.97
9 4.333029 -2.638104  6.971133 6.97
10 4.333029 -2.638104  6.971133 6.97
11 4.333029 -2.638104  6.971133 6.97
12 4.333029 -2.638104  6.971133 6.97
13 4.333029 -2.638104  6.971133 6.97
14 4.333029 -2.638104  6.971133 6.97
15 4.333029 -2.638104  6.971133 6.97
16 4.333029 -2.638104  6.971133 6.97
17 4.333029 -2.638104  6.971133 6.97
18 4.333029 -2.638104  6.971133 6.97
19 4.333029 -2.638104  6.971133 6.97
20 4.333029 -2.638104  6.971133 6.97
21 4.333029 -2.638104  6.971133 6.97
22 4.333029 -2.638104  6.971133 6.97
23 4.333029 -2.638104  6.971133 6.97
24 4.333029 -2.638104  6.971133 6.97
25 4.333029 -2.638104  6.971133 6.97
26 4.333029 -2.638104  6.971133 6.97
27 4.333029 -2.638104  6.971133 6.97
28 4.333029 -2.638104  6.971133 6.97
29 4.333029 -2.638104  6.971133 6.97
30 4.333029 -2.638104  6.971133 6.97
31 4.333029 -2.638104  6.971133 6.97
32 4.333029 -2.638104  6.971133 6.97
33 4.333029 -2.638104  6.971133 6.97
34 4.333029 -2.638104  6.971133 6.97
35 4.333029 -2.638104  6.971133 6.97
36 4.333029 -2.638104  6.971133 6.97
37 4.333029 -2.638104  6.971133 6.97
38 4.333029 -2.638104  6.971133 6.97
39 4.333029 -2.638104  6.971133 6.97
40 4.333029 -2.638104  6.971133 6.97
41 4.333029 -2.638104  6.971133 6.97
42 4.333029 -2.638104  6.971133 6.97
43 4.333029 -2.638104  6.971133 6.97
44 4.333029 -2.638104  6.971133 6.97
45 4.333029 -2.638104  6.971133 6.97
46 4.333029 -2.638104  6.971133 6.97
47 4.333029 -2.638104  6.971133 6.97
48 4.333029 -2.638104  6.971133 6.97
49 4.333029 -2.638104  6.971133 6.97
50 4.333029 -2.638104  6.971133 6.97
51 4.333029 -2.638104  6.971133 6.97
52 4.333029 -2.638104  6.971133 6.97
53 4.333029 -2.638104  6.971133 6.97
54 4.333029 -2.638104  6.971133 6.97
55 4.333029 -2.638104  6.971133 6.97
56 4.333029 -2.638104  6.971133 6.97
57 4.333029 -2.638104  6.971133 6.97
58 4.333029 -2.638104  6.971133 6.97
59 4.333029 -2.638104  6.971133 6.97
60 4.333029 -2.638104  6.971133 6.97
61 4.333029 -2.638104  6.971133 6.97
62 4.333029 -2.638104  6.971133 6.97
63 4.333029 -2.638104  6.971133 6.97
64 4.333029 -2.638104  6.971133 6.97
65 4.333029 -2.638104  6.971133 6.97
66 4.333029 -2.638104  6.971133 6.97
67 4.333029 -2.638104  6.971133 6.97
68 4.333029 -2.638104  6.971133 6.97
69 4.333029 -2.638104  6.971133 6.97
70 4.333029 -2.638104  6.971133 6.97
71 4.333029 -2.638104  6.971133 6.97
72 4.333029 -2.638104  6.971133 6.97
73 4.333029 -2.638104  6.971133 6.97
74 4.333029 -2.638104  6.971133 6.97
75 4.333029 -2.638104  6.971133 6.97
76 4.333029 -2.638104  6.971133 6.97
77 4.333029 -2.638104  6.971133 6.97
78 4.333029 -2.638104  6.971133 6.97
79 4.333029 -2.638104  6.971133 6.97
80 4.333029 -2.638104  6.971133 6.97
81 4.333029 -2.638104  6.971133 6.97
82 4.333029 -2.638104  6.971133 6.97
83 4.333029 -2.638104  6.971133 6.97
84 4.333029 -2.638104  6.971133 6.97
85 4.333029 -2.638104  6.971133 6.97
86 4.333029 -2.638104  6.971133 6.97
87 4.333029 -2.638104  6.971133 6.97
88 4.333029 -2.638104  6.971133 6.97
89 4.333029 -2.638104  6.971133 6.97
90 4.333029 -2.638104  6.971133 6.97
91 4.333029 -2.638104  6.971133 6.97
92 4.333029 -2.638104  6.971133 6.97
93 4.333029 -2.638104  6.971133 6.97
94 4.333029 -2.638104  6.971133 6.97
95 4.333029 -2.638104  6.971133 6.97
96 4.333029 -2.638104  6.971133 6.97
97 4.333029 -2.638104  6.971133 6.97
98 4.333029 -2.638104  6.971133 6.97
99 4.333029 -2.638104  6.971133 6.97
100 4.333029 -2.638104  6.971133 6.97
101 4.333029 -2.638104  6.971133 6.97
102 4.333029 -2.638104  6.971133 6.97
103 4.333029 -2.638104  6.971133 6.97
104 4.333029 -2.638104  6.971133 6.97
105 4.333029 -2.638104  6.971133 6.97
106 4.333029 -2.638104  6.971133 6.97
107 4.333029 -2.638104  6.971133 6.97
108 4.333029 -2.638104  6.971133 6.97
109 4.333029 -2.638104  6.971133 6.97
110 4.333029 -2.638104  6.971133 6.97
111 4.333029 -2.638104  6.971133 6.97
112 4.333029 -2.638104  6.971133 6.97
113 4.333029 -2.638104  6.971133 6.97
114 4.333029 -2.638104  6.971133 6.97
115 4.333029 -2.638104  6.971133 6.97
116 4.333029 -2.638104  6.971133 6.97
117 4.333029 -2.638104  6.971133 6.97
118 4.333029 -2.638104  6.971133 6.97
119 4.333029 -2.638104  6.971133 6.97
120 4.333029 -2.638104  6.971133 6.97
121 4.333029 -2.638104  6.971133 6.97
122 4.333029 -2.638104  6.971133 6.97
123 4.333029 -2.638104  6.971133 6.97
124 4.333029 -2.638104  6.971133 6.97
125 4.333029 -2.638104  6.971133 6.97
126 4.333029 -2.638104  6.971133 6.97
127 4.333029 -2.638104  6.971133 6.97
128 4.333029 -2.638104  6.971133 6.97
