#Step   Etot   PotE Ktot  T
144 0.818257 -1.594675  2.412932 2.41
145 0.818297 -1.556829  2.375126 2.38
146 0.818338 -1.520055  2.338393 2.34
147 0.818380 -1.485274  2.303654 2.30
148 0.818421 -1.453403  2.271824 2.27
149 0.818460 -1.425335  2.243795 2.24
150 0.818492 -1.401889  2.220382 2.22
151 0.818512 -1.383741  2.202253 2.20
152 0.818517 -1.371344  2.189861 2.19
153 0.818509 -1.364892  2.183401 2.18
154 0.818491 -1.364328  2.182819 2.18
155 0.818465 -1.369385  2.187850 2.19
156 0.818430 -1.379620  2.198050 2.20
157 0.818386 -1.394420  2.212806 2.21
158 0.818331 -1.412987  2.231318 2.23
159 0.818265 -1.434324  2.252588 2.25
160 0.818193 -1.457265  2.275458 2.28
161 0.818124 -1.480564  2.298688 2.30
162 0.818063 -1.503005  2.321068 2.32
163 0.818016 -1.523517  2.341533 2.34
164 0.817983 -1.541252  2.359235 2.36
165 0.817961 -1.555597  2.373558 2.37
166 0.817943 -1.566140  2.384084 2.38
167 0.817926 -1.572594  2.390520 2.39
168 0.817906 -1.574729  2.392635 2.39
169 0.817886 -1.572348  2.390234 2.39
170 0.817872 -1.565315  2.383186 2.38
171 0.817874 -1.553658  2.371532 2.37
172 0.817908 -1.537731  2.355638 2.36
173 0.817988 -1.518415  2.336403 2.34
174 0.818125 -1.497322  2.315447 2.32
175 0.818306 -1.476876  2.295182 2.30
176 0.818495 -1.460106  2.278601 2.28
177 0.818630 -1.450040  2.268670 2.27
178 0.818658 -1.448801  2.267459 2.27
179 0.818567 -1.456834  2.275401 2.28
180 0.818392 -1.472726  2.291118 2.29
181 0.818194 -1.493735  2.311929 2.31
182 0.818016 -1.516648  2.334663 2.33
183 0.817878 -1.538484  2.356362 2.36
184 0.817779 -1.556842  2.374620 2.37
185 0.817711 -1.569943  2.387654 2.39
186 0.817673 -1.576579  2.394252 2.39
187 0.817664 -1.576076  2.393740 2.39
188 0.817695 -1.568338  2.386033 2.39
189 0.817779 -1.553973  2.371753 2.37
190 0.817930 -1.534476  2.352406 2.35
191 0.818144 -1.512371  2.330515 2.33
192 0.818391 -1.491115  2.309506 2.31
193 0.818601 -1.474545  2.293146 2.29
194 0.818701 -1.465856  2.284558 2.28
195 0.818661 -1.466532  2.285192 2.29
196 0.818513 -1.475888  2.294401 2.29
197 0.818333 -1.491558  2.309891 2.31
198 0.818184 -1.510562  2.328746 2.33
199 0.818094 -1.530279  2.348372 2.35
200 0.818054 -1.548902  2.366955 2.37
201 0.818040 -1.565386  2.383426 2.38
202 0.818028 -1.579138  2.397167 2.40
203 0.818004 -1.589690  2.407694 2.41
204 0.817963 -1.596486  2.414449 2.41
205 0.817912 -1.598826  2.416738 2.42
206 0.817864 -1.595958  2.413822 2.41
207 0.817838 -1.587271  2.405109 2.41
208 0.817847 -1.572536  2.390383 2.39
209 0.817901 -1.552115  2.370017 2.37
210 0.817995 -1.527070  2.345065 2.35
211 0.818110 -1.499067  2.317177 2.32
212 0.818219 -1.470088  2.288308 2.29
213 0.818298 -1.442023  2.260321 2.26
214 0.818335 -1.416300  2.234635 2.23
215 0.818336 -1.393720  2.212056 2.21
216 0.818317 -1.374521  2.192838 2.19
217 0.818292 -1.358582  2.176873 2.18
218 0.818269 -1.345633  2.163903 2.16
219 0.818254 -1.335406  2.153661 2.15
