#Step   Etot   PotE Ktot  T
0 0.818303 -2.635729  3.454032 3.45
1 0.818293 -2.628582  3.446875 3.45
2 0.818272 -2.616552  3.434824 3.43
3 0.818241 -2.599406  3.417647 3.42
4 0.818200 -2.576794  3.394994 3.39
5 0.818148 -2.548254  3.366402 3.37
6 0.818087 -2.513220  3.331307 3.33
7 0.818020 -2.471049  3.289070 3.29
8 0.817953 -2.421069  3.239022 3.24
9 0.817893 -2.362663  3.180555 3.18
10 0.817854 -2.295403  3.113257 3.11
11 0.817853 -2.219250  3.037104 3.04
12 0.817909 -2.134796  2.952704 2.95
13 0.818030 -2.043492  2.861522 2.86
14 0.818210 -1.947764  2.765974 2.77
15 0.818417 -1.850854  2.669272 2.67
16 0.818607 -1.756340  2.574948 2.57
17 0.818741 -1.667454  2.486195 2.49
18 0.818808 -1.586508  2.405315 2.41
19 0.818825 -1.514727  2.333553 2.33
20 0.818824 -1.452506  2.271330 2.27
21 0.818824 -1.399832  2.218656 2.22
22 0.818827 -1.356593  2.175420 2.18
23 0.818825 -1.322652  2.141476 2.14
24 0.818807 -1.297748  2.116555 2.12
25 0.818769 -1.281381  2.100150 2.10
26 0.818713 -1.272750  2.091463 2.09
27 0.818645 -1.270785  2.089430 2.09
28 0.818573 -1.274244  2.092817 2.09
29 0.818503 -1.281829  2.100333 2.10
30 0.818442 -1.292294  2.110736 2.11
31 0.818389 -1.304516  2.122905 2.12
32 0.818345 -1.317526  2.135871 2.14
33 0.818308 -1.330503  2.148811 2.15
34 0.818277 -1.342756  2.161032 2.16
35 0.818250 -1.353702  2.171952 2.17
36 0.818230 -1.362867  2.181097 2.18
37 0.818218 -1.369899  2.188118 2.19
38 0.818218 -1.374605  2.192823 2.19
39 0.818231 -1.376982  2.195213 2.20
40 0.818258 -1.377251  2.195509 2.20
41 0.818299 -1.375865  2.194164 2.19
42 0.818351 -1.373498  2.191849 2.19
43 0.818409 -1.370997  2.189406 2.19
44 0.818466 -1.369307  2.187774 2.19
45 0.818514 -1.369360  2.187874 2.19
46 0.818544 -1.371939  2.190483 2.19
47 0.818548 -1.377550  2.196098 2.20
48 0.818526 -1.386317  2.204843 2.20
49 0.818480 -1.397958  2.216438 2.22
50 0.818419 -1.411826  2.230245 2.23
51 0.818355 -1.427051  2.245406 2.25
52 0.818301 -1.442708  2.261009 2.26
53 0.818265 -1.458005  2.276270 2.28
54 0.818251 -1.472414  2.290664 2.29
55 0.818257 -1.485727  2.303984 2.30
56 0.818277 -1.498042  2.316319 2.32
57 0.818302 -1.509666  2.327968 2.33
58 0.818323 -1.520986  2.339308 2.34
59 0.818328 -1.532312  2.350640 2.35
60 0.818311 -1.543729  2.362040 2.36
61 0.818269 -1.554987  2.373257 2.37
62 0.818208 -1.565472  2.383680 2.38
63 0.818138 -1.574276  2.392415 2.39
64 0.818076 -1.580374  2.398450 2.40
65 0.818033 -1.582839  2.400872 2.40
66 0.818021 -1.581060  2.399081 2.40
67 0.818044 -1.574888  2.392932 2.39
68 0.818101 -1.564708  2.382810 2.38
69 0.818187 -1.551430  2.369617 2.37
70 0.818293 -1.536401  2.354694 2.35
71 0.818407 -1.521275  2.339682 2.34
72 0.818515 -1.507823  2.326338 2.33
73 0.818601 -1.497712  2.316313 2.32
74 0.818653 -1.492269  2.310922 2.31
75 0.818664 -1.492297  2.310962 2.31
76 0.818636 -1.497967  2.316603 2.32
77 0.818576 -1.508832  2.327408 2.33
78 0.818498 -1.523954  2.342451 2.34
79 0.818416 -1.542101  2.360517 2.36
80 0.818342 -1.561961  2.380302 2.38
81 0.818281 -1.582306  2.400587 2.40
82 0.818235 -1.602102  2.420337 2.42
83 0.818202 -1.620536  2.438738 2.44
84 0.818179 -1.637001  2.455179 2.46
85 0.818159 -1.651037  2.469196 2.47
86 0.818139 -1.662268  2.480407 2.48
87 0.818115 -1.670333  2.488447 2.49
88 0.818087 -1.674850  2.492937 2.49
89 0.818059 -1.675420  2.493479 2.49
90 0.818037 -1.671680  2.489718 2.49
91 0.818028 -1.663390  2.481418 2.48
92 0.818037 -1.650534  2.468570 2.47
93 0.818063 -1.633386  2.451448 2.45
